Date,y_true,Arima,SVR,LSTM,RF,ANN,Arima + LSTM,Arima + ANN,Arima + SVR,Arima + RF,,,,,,,,,,,,,,,,,,,,
4/30/2018,30.37108546,32.17111804,27.6868725,31.38388298,30.19117917,35.08356736,35.53707553,30.3159633,29.79724842,40.41355393,-0.513213085,-0.286869727,-0.368007064,-0.18908908,-0.231908689,-0.398321487,-0.527485892,-0.510830405,-0.409118794,-0.506756775,-0.39%,-0.22%,-0.29%,-0.14%,-0.18%,-0.29%,-0.39%,-0.39%,-0.31%,-0.36%
5/7/2018,32.27698509,34.55185141,29.81241275,34.4846232,32.51036752,37.47598342,37.55679429,32.14906666,31.76658649,42.5262256,1.905899633,2.380733364,2.125540248,3.100740225,2.319188347,2.392416064,2.019718755,1.833103366,1.96933807,2.112671672,1.46%,1.80%,1.66%,2.36%,1.78%,1.77%,1.49%,1.41%,1.52%,1.50%
5/14/2018,32.44440304,34.65357133,29.73624629,34.10947085,32.16556282,37.42470988,37.72228785,32.30620789,31.97752817,42.62283933,0.167417954,0.101719922,-0.076166451,-0.375152351,-0.344804701,-0.051273538,0.165493566,0.157141223,0.21094168,0.096613726,0.13%,0.08%,-0.06%,-0.28%,-0.26%,-0.04%,0.12%,0.12%,0.16%,0.07%
5/21/2018,32.67994153,34.87251673,30.0830763,34.53127684,32.66547166,37.75464037,37.96753155,32.55736823,32.1723937,42.9209983,0.235538487,0.218945399,0.346830006,0.42180599,0.499908846,0.329930486,0.2452437,0.251160341,0.194865533,0.298158969,0.18%,0.16%,0.27%,0.31%,0.38%,0.24%,0.18%,0.19%,0.15%,0.21%
5/28/2018,33.62193774,35.69801612,30.88848097,35.33844171,33.32881842,38.65695473,38.94861177,33.47702631,33.03924037,43.88821296,0.941996206,0.82549939,0.805404665,0.807164866,0.663346757,0.902314357,0.981080218,0.919658088,0.866846668,0.967214659,0.71%,0.61%,0.62%,0.60%,0.50%,0.66%,0.71%,0.69%,0.66%,0.68%
6/4/2018,34.96606748,37.28983163,32.34082882,37.48211706,34.85165455,40.31798346,40.37417332,34.7598036,34.37327341,45.35874604,1.344129744,1.591815513,1.452347852,2.143675348,1.522836131,1.661028733,1.425561553,1.282777284,1.334033045,1.470533086,1.01%,1.17%,1.11%,1.58%,1.14%,1.20%,1.03%,0.96%,1.00%,1.02%
6/11/2018,35.04070747,37.15931938,32.46961554,37.70782012,35.03931289,40.45450404,40.45491371,34.83348035,34.28209156,45.4569972,0.074639988,-0.130512248,0.128786721,0.225703064,0.187658334,0.136520581,0.080740386,0.073676754,-0.091181856,0.098251163,0.06%,-0.10%,0.10%,0.16%,0.14%,0.10%,0.06%,0.05%,-0.07%,0.07%
6/18/2018,34.79375907,36.52256665,31.83209424,36.18456065,34.0344093,39.71853956,40.16603444,34.62127891,34.00712834,45.07191964,-0.246948402,-0.636752732,-0.637521301,-1.523259467,-1.004903589,-0.735964475,-0.288879266,-0.212201442,-0.274963222,-0.385077567,-0.18%,-0.46%,-0.48%,-1.11%,-0.74%,-0.52%,-0.21%,-0.16%,-0.20%,-0.26%
6/25/2018,34.4060671,35.7291406,31.05181643,34.39664716,32.90747842,38.79725073,39.72476295,34.28487145,33.61124565,44.539446,-0.387691965,-0.793426049,-0.780277806,-1.787913495,-1.126930872,-0.921288831,-0.441271494,-0.336407462,-0.395882683,-0.532473639,-0.29%,-0.58%,-0.59%,-1.31%,-0.84%,-0.66%,-0.31%,-0.25%,-0.30%,-0.37%
7/2/2018,35.119998,36.85703104,32.17971416,36.5290266,34.42622657,40.07156616,40.5044976,34.95359775,34.33227044,45.43531774,0.713930902,1.127890437,1.127897729,2.132379436,1.518748148,1.274315424,0.779734652,0.668726299,0.721024789,0.895871738,0.53%,0.83%,0.86%,1.59%,1.14%,0.92%,0.56%,0.50%,0.54%,0.62%
7/9/2018,36.07002882,37.86928557,33.3039003,38.25400201,35.71204846,41.33416908,41.51511787,35.86576125,35.16441498,46.50913473,0.950030812,1.012254528,1.124186139,1.724975418,1.285821883,1.262602921,1.010620267,0.912163503,0.832144538,1.073816991,0.70%,0.74%,0.85%,1.26%,0.96%,0.90%,0.72%,0.68%,0.62%,0.74%
7/16/2018,36.65944208,38.23253247,33.65690853,38.36140284,35.8188032,41.74118086,42.12094178,36.44235159,35.67201516,47.06432315,0.589413266,0.363246898,0.353008231,0.107400826,0.106754748,0.407011778,0.605823914,0.576590345,0.507600179,0.555188426,0.43%,0.26%,0.26%,0.08%,0.08%,0.29%,0.43%,0.42%,0.38%,0.38%
7/23/2018,37.10490156,36.54069955,32.13100266,35.14294654,33.47517032,39.74668367,41.30546135,37.31105575,35.91483909,45.85800478,0.445459482,-1.691832919,-1.525905869,-3.218456297,-2.343632888,-1.994497185,-0.815480436,0.86870416,0.242823932,-1.206318374,0.33%,-1.22%,-1.14%,-2.33%,-1.73%,-1.41%,-0.57%,0.64%,0.18%,-0.82%
8/6/2018,44.42962012,39.99868857,38.84065151,41.8672135,39.93374957,46.74426813,48.59666089,44.55336422,42.66453843,52.73202614,7.324718559,3.457989019,6.709648843,6.724266961,6.45857925,6.997584461,7.291199542,7.242308469,6.749699337,6.874021363,5.34%,2.53%,5.08%,4.98%,4.84%,5.01%,5.16%,5.27%,4.97%,4.71%
8/13/2018,42.6275693,38.15782573,37.02812541,40.04434907,38.16281715,44.88395665,46.67667208,42.64546392,40.8888892,50.74262669,-1.80205082,-1.840862831,-1.812526101,-1.822864433,-1.770932417,-1.86031148,-1.919988807,-1.907900308,-1.775649229,-1.989399451,-1.25%,-1.31%,-1.31%,-1.28%,-1.27%,-1.27%,-1.29%,-1.32%,-1.24%,-1.30%
8/20/2018,40.48615589,38.5898267,35.23740424,38.29179988,36.52374529,43.0301766,44.67456048,40.6131381,39.10796675,49.1199489,-2.141413415,0.432000961,-1.790721165,-1.752549191,-1.639071855,-1.853780052,-2.002111596,-2.032325816,-1.780922452,-1.622677797,-1.50%,0.31%,-1.31%,-1.25%,-1.19%,-1.28%,-1.37%,-1.42%,-1.26%,-1.08%
8/27/2018,45.43814954,41.84443798,39.86672428,42.9608922,41.01865186,47.87414198,49.67364577,45.54673019,43.78929351,53.99343765,4.951993648,3.254611286,4.629320036,4.669092319,4.49490657,4.843965379,4.999085281,4.933592087,4.681326768,4.873488758,3.52%,2.35%,3.42%,3.38%,3.29%,3.39%,3.46%,3.51%,3.37%,3.27%
9/3/2018,53.94614737,45.41701001,47.62806925,50.71236428,48.42854722,55.94155708,58.12023454,53.96890894,51.55509351,61.86751206,8.50799783,3.572572032,7.761344971,7.751472083,7.409895353,8.067415099,8.446588773,8.422178752,7.765799997,7.874074408,5.85%,2.52%,5.55%,5.42%,5.25%,5.46%,5.64%,5.79%,5.40%,5.11%
