,Price,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-02-24,0.14584227223546153,0.131801553189955,0.11411367852202248,0.09916062299253126,0.7652406686536524,0.9877069928873814,0.7760382287298023,0.7852229845386584,0.656575999635439,0.3238845663032969,0.5688672878869246,0.06683840372782371
2015-02-25,0.14549836232752345,0.13333435334401622,0.11673289244319007,0.10058411009247714,0.7687460624913489,0.9918879041318699,0.7808366597279406,0.787556776160353,0.6400044079376025,0.33137115583349863,0.5435195326107172,0.06538167117712691
2015-02-26,0.14489642157869997,0.13487424939336978,0.11998749401558595,0.10220706362721432,0.7822734994494905,0.9713326468518246,0.7851556672021803,0.7895792359732197,0.6139739814883287,0.33832203421370105,0.552399689434901,0.0460614095533699
2015-02-27,0.14154267671340215,0.1362627952541402,0.12244779864826616,0.10367299713989808,0.7814022939698602,0.9314896052673561,0.7887774195748042,0.790280588387871,0.6163831414188399,0.3337564333169353,0.5399890417868376,0.044811145703378547
2015-03-02,0.14730418457399386,0.13757069986148251,0.12471061024489738,0.10556457255762464,0.7708747993406662,0.9163410118437655,0.7915327414166601,0.7896822674720819,0.5955461741165482,0.32897224969066874,0.5369736344581983,0.0371694130861491
2015-03-03,0.14343450924016765,0.13734519465135098,0.12583562693819905,0.10790433830553448,0.7115131807623895,0.8309345046756471,0.793044804299028,0.7867673298473917,0.5918339221134471,0.32194536532538814,0.5216271172101993,0.03992646260023365
2015-03-04,0.13965090979325778,0.13795542843767017,0.1269376681484391,0.1101805052244984,0.7533628858533629,0.960473549414035,0.7940990887284707,0.7861130603042982,0.6116172525282574,0.3288008430898372,0.5692454610556452,0.03284685723896075
2015-03-05,0.14111275652516886,0.13760854849356863,0.12755116889039853,0.11281822735244285,0.6997878920407188,0.8564220303554413,0.794277662480554,0.7833132589817402,0.5882086851072509,0.3236903579069419,0.523047859538908,0.03009787488027939
2015-03-06,0.1281279596786955,0.13652777742062028,0.1277094400653258,0.11489301351506587,0.6331802238790626,0.6287962658323327,0.793252078194714,0.778392765027035,0.5770626471332525,0.31909723760178577,0.5174457182461352,0.03597604181267168
2015-03-09,0.13156764921766728,0.13571685403386724,0.12796500941282174,0.11634919956457956,0.642247419122413,0.5485641072696115,0.7914429872125676,0.7742295195615835,0.5612105998729804,0.3264331256098497,0.5452760716120304,0.023803655930432658
2015-03-10,0.11746498115384196,0.1332354697493513,0.12657300916566838,0.11729010408504137,0.469235228340369,0.14280609651649823,0.7876469450347089,0.7643384912860983,0.5261279161773794,0.32164238974349024,0.4700802476611337,0.04726563321223784
2015-03-11,0.1167770301247234,0.1301252006561746,0.12528738233386805,0.11787407886832901,0.48968854998918576,0.21515656129243332,0.7828278496226876,0.7568331139473796,0.5253525247821994,0.33093032112004517,0.5500163373757542,0.04696757318159865
2015-03-12,0.1282139699589906,0.12512074402082018,0.12253549244108375,0.11790824227645491,0.35212907951481287,0.03800373329935458,0.7759385378237551,0.7440563250824406,0.49759940273018105,0.32288076312105735,0.4637956126178485,0.06764806414112935
2015-03-13,0.12305446845384349,0.12041766179433899,0.1195611836493049,0.11804232987596719,0.3315961451695618,0.028072411339063907,0.767695438503409,0.7325529283232388,0.4931609149381145,0.31263934976617674,0.5263383965962168,0.0674690032322886
2015-03-16,0.13457735296178464,0.11752041201229746,0.1176542798109117,0.11828476386899422,0.45769627503684285,0.3328722323575718,0.7601306829723479,0.7284669469055532,0.5044714893684688,0.31807246725124877,0.6024967507484493,0.08033786974868741
2015-03-17,0.13277153071531422,0.11624433690201441,0.11572203085262545,0.11829348228450076,0.42374842357499154,0.23106618322316952,0.7528729287180727,0.7233885071482999,0.4963857419138279,0.31097875003702014,0.5197170470946101,0.08042531473456896
2015-03-18,0.14343450924016765,0.11661104462460214,0.11431117233272947,0.1183899396221314,0.5288575734940293,0.5338783145043609,0.747308646346759,0.7244072737317736,0.5130261657107894,0.31557580168623206,0.601658378041101,0.09404664162039986
2015-03-19,0.14008082998149096,0.11936957510482449,0.11315621947291954,0.11822330596801889,0.5251725911113581,0.5326200627018167,0.7429789894378397,0.7249200616234746,0.5124359166333003,0.3059757215916492,0.5382599375452094,0.09400192361536966
2015-03-20,0.14790612532281733,0.12445002624956303,0.11335027897498684,0.11843036002509044,0.612102426249131,0.8284706315362251,0.7407467364372394,0.7301059813741301,0.5335151709543346,0.31620062330149556,0.5987107064067722,0.10487533805559801
2015-03-23,0.14627225803031596,0.12721370477464133,0.11328159082828826,0.11851453704897497,0.5906110625345816,0.7735573259822084,0.7396666398789893,0.7330778169502516,0.5362530332075093,0.31163738121116324,0.5295416737642268,0.10427625523213802
2015-03-24,0.1412847114791379,0.13197502156129803,0.11507385360240374,0.1189411088480149,0.6472099346451375,0.9094921181393996,0.7401351164966462,0.7386894057226839,0.540500246247768,0.31709985273185165,0.5816062961791497,0.10665002272586208
2015-03-25,0.12236651742472493,0.13466665709666648,0.11664658665241279,0.11910727353206807,0.6395777598354502,0.8771441408006547,0.7414167349474526,0.742508236122978,0.5452620919118443,0.30819247545989514,0.5367693603193897,0.10582219868314333
2015-03-26,0.1205606951782544,0.13652509394609103,0.119020831953773,0.11902216929242349,0.5802895755955317,0.7485115771713968,0.7425194465413026,0.7428342502854539,0.5436317270135888,0.30080941132316197,0.5127631913264594,0.10648827861616522
