,Return,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-02-24,0.004424359943743017,0.32735467722677536,0.1557810679540672,0.4511135092850391,0.5022933339132348,0.3704428124898361,0.18293644866226225,0.6306395301955444,0.07917602166468683
2015-02-25,0.0007191822419185812,0.399378010090334,0.2741946022388383,0.43377190756777756,0.5046449399715071,0.391194328975731,0.18594587775621735,0.6561862143125701,0.08543244733473314
2015-02-26,-0.0035932584169554582,0.5445223617520911,0.5847956279640125,0.4257688343706121,0.5246041061972087,0.44171343832562987,0.18996486140198812,0.6972218015661248,0.09673891599583415
2015-02-27,0.0025243309044271633,0.5650530845311535,0.6708083335917676,0.42501986038794526,0.5438263952528396,0.4367931105244378,0.19314861453973425,0.6390843176125928,0.09504750191369586
2015-03-02,-0.006744604501644824,0.45458593734809816,0.5811939610170231,0.42491445585225834,0.5455052676249493,0.4273259504916939,0.186535391073292,0.5714183443189105,0.10016912019210975
2015-03-03,-0.0012675363831294861,0.5282543409391268,0.8888865301612849,0.42825349670336005,0.5571449741982838,0.4787775255243083,0.2001934892915478,0.6674086798942779,0.08243500941247858
2015-03-04,0.000543968718305976,0.36424816791400916,0.19444327225899516,0.42603516051445955,0.5405200581974701,0.4381841130200238,0.192866334353516,0.5219709635075604,0.11295820255655714
2015-03-05,0.0004529801677912726,0.33931295443587084,0.06481441818745803,0.419173095149612,0.5232225130981967,0.4370354182319854,0.19030675140039738,0.6079109590376357,0.11314288573443526
2015-03-06,-0.006520569033170109,0.3560806878573328,0.1203746808817523,0.4105513475088312,0.5125731443156335,0.4431465172085144,0.19213143547705697,0.6363350625802199,0.11363994672008831
2015-03-09,0.0025524741702911413,0.37060710312186396,0.16666666061540125,0.40198676474425976,0.5069045863027268,0.44482200004800115,0.19537687783904725,0.6349073729239839,0.1138520508897822
2015-03-10,0.0023640161747597865,0.24590017828447022,0.05813860695240192,0.38673342605122335,0.47833824375001216,0.411898763128389,0.19065539948797944,0.525486275824696,0.134650735644633
2015-03-11,0.0019956569753838416,0.3239250892506521,0.22093290748166217,0.3712099535188404,0.4670472590519452,0.4525215757934211,0.1936152692613339,0.6678502717011643,0.13240793977407256
2015-03-12,0.0008148105018208618,0.3906613543666543,0.3720923983684148,0.35928360803701453,0.46872156815760063,0.44978173631825985,0.19564546856258216,0.6648932027625442,0.13102114611069543
2015-03-13,-0.0018996536234274775,0.443589709779198,0.4999999952349675,0.3528065436981571,0.47913944839548195,0.4670831106097594,0.1981002144913533,0.6591133241296406,0.133285263377128
2015-03-16,0.002175145016582114,0.46488680153689366,0.5523278475245759,0.35133480901069214,0.4917534551801863,0.4709936906238763,0.2037068292397219,0.6405848082338452,0.1336422521163551
2015-03-17,-0.00018090316630214875,0.4204086624476001,0.43023100930627267,0.3512525942953965,0.49547712902398344,0.44813406223458885,0.20144408235719377,0.5979924874618329,0.13331047929219653
2015-03-18,0.007326385726075912,0.479404595322924,0.5697689847157125,0.3548386616488327,0.5078936672361758,0.4343579038408867,0.20391113147394618,0.661929647762135,0.12409147944766635
2015-03-19,-0.0035018351443868445,0.47477835896099574,0.5714279199471597,0.36065277170630144,0.5179077682355915,0.4288369730889503,0.2004492569740881,0.6249611883936481,0.12333636053005342
2015-03-20,0.003063581975188079,0.6425442087482062,0.988828695773502,0.3761791830645285,0.5548840367737107,0.49604510405203833,0.2037931248399286,0.7427571283335984,0.14653820611465554
2015-03-23,0.0001796320797811113,0.5524448071084973,0.7709520606301774,0.39325068808912345,0.5706956781270974,0.4587776517754278,0.19715009646739082,0.5728528570963027,0.14997512435538035
2015-03-24,0.002694476932147305,0.6127266069019397,0.9608940478570397,0.41411907883256904,0.5952142761347378,0.5196321802868815,0.1990924406093925,0.6758700016989688,0.12869680035813194
2015-03-25,-0.0018810380295660734,0.6161941763929122,0.9666638410883527,0.436665502166824,0.6151105496296158,0.5286500222790632,0.20367979688303064,0.6306183025068725,0.12679279581899666
2015-03-26,-0.003589711251758221,0.6673883921855887,0.9855078336334618,0.4622957940982684,0.6409278637032813,0.5420457535200084,0.2064736602608068,0.6700784210358943,0.12891942833817088
2015-03-27,0.0014410849668424763,0.6146445193932961,0.8511630394635693,0.4864377142085797,0.6532962821044932,0.5274743465492465,0.2040864952237638,0.5982845828773393,0.13268915376481136
2015-03-30,0.00044963954731125355,0.5234772539976279,0.6086942145244201,0.5042987867351835,0.6483577925669336,0.5458573057093976,0.19436489730650292,0.5714740018423407,0.11273983127679907
2015-03-31,0.0017080406783083202,0.555001422245873,0.650001191840763,0.5189101363058196,0.6494542890192287,0.5389291453866428,0.19663613512158148,0.6504116020122573,0.11110012620594373
