,Label,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-02-24,1.0,110.55400085550545,110.7550003069043,111.33333333400032,38.45537530707162,-84.42189319750736,-0.07003387093265839,-0.21022476850953353,-1.628398505801948,-1512000.0,0.00018098499088359254,0.0022600520680249704
2015-02-25,1.0,110.5520004272759,110.72400054977834,111.3009523669027,43.276791831515844,-72.58053977003149,-0.0969966954421071,-0.2048479934799019,-1.2923324361040827,224700.0,0.0018091084580702521,0.0023899988496776086
2015-02-26,0.0,110.73800048550963,110.7440002438426,111.27857135624403,52.99310664205434,-41.520437200133784,-0.10943992076384657,-0.15921282205080445,-0.47418699909964673,2544000.0,0.004424359904843023,0.002624835686531712
2015-02-27,1.0,110.87799987584353,110.78400039613246,111.26238069104296,54.367483003140016,-32.91916663807973,-0.11060442986921758,-0.11526246629070158,-0.5538705840027405,4381300.0,0.0007191822968868333,0.00258970479422876
2015-03-02,0.0,110.95599975469709,110.78899993889033,111.22999972437108,46.972544353401574,-41.880603894877474,-0.11076831340715615,-0.11142384755891044,-0.7071890783675995,564900.0,-0.0035932583527412687,0.0026960814775352656
2015-03-03,0.0,111.08599853321911,110.81999969436228,111.18857102228772,51.90408590318418,-11.11134698294103,-0.10557675295655124,-0.08481051115413152,0.12605742738674347,8446800.0,0.002524330812939235,0.002327741670939694
2015-03-04,1.0,111.02599792569876,110.78899917648732,111.11571357472312,40.925115056940264,-80.55567276742869,-0.10902583508855895,-0.12282216361658982,-0.5313436163014041,4218400.0,-0.0067446043638746955,0.002961712395442127
2015-03-05,1.0,110.83999786654115,110.78899917602538,111.01714216106704,39.2558914122677,-93.51855817351068,-0.11969501471860142,-0.1623717332387713,-0.5499464660237792,2741300.0,-0.0012675364652983134,0.0029655482892665423
2015-03-06,0.0,110.6499984769523,110.76399917639792,110.92999957986532,40.378364141611605,-87.96253190454061,-0.13310015872629027,-0.18672073475704565,-0.4509786139165505,3794300.0,0.0005439686912782626,0.002975872311124573
2015-03-09,1.0,110.5499984756112,110.75299911515415,110.86571393789988,41.350797599380066,-83.33333393155843,-0.14641642244990627,-0.19968147734437025,-0.4238445520230376,5667200.0,0.0004529801691464108,0.00298027774254507
2015-03-10,1.0,110.24999847859144,110.66799850590527,110.75904701028551,33.002613701853576,-94.18613929694571,-0.17013240332085486,-0.26499632680464913,-0.9570288540390541,2942500.0,-0.006520568929303194,0.003412269152503058
2015-03-11,1.0,110.15599975726006,110.5909988414794,110.67666626099319,38.22579041679372,-77.90670924536902,-0.19426838987985082,-0.29081233611583457,-0.2991516814628008,4650600.0,0.002552474034204888,0.0033656859881447732
2015-03-12,1.0,110.14199981710314,110.49099884182215,110.63761865583204,42.69327780906307,-62.79076015794664,-0.21281154209933578,-0.2869841509772755,-0.34352275596457904,5822200.0,0.0023640161775608792,0.003336882101888294
2015-03-13,0.0,110.15999908420444,110.40499878057838,110.60999952084963,46.23643024805546,-50.00000047235154,-0.22288211987868844,-0.263164430996099,-0.06333095106838826,7238800.0,0.0019956569808599056,0.003383908114434992
2015-03-16,1.0,110.18600006064771,110.36799926812947,110.59238070559643,47.66210920633255,-44.767215243824424,-0.2251703816138373,-0.23432342855443267,-9.435338826813846e-10,10474300.0,0.0008148105193819255,0.003391322817365276
2015-03-17,0.0,110.3139999370575,110.28199920782447,110.56714230529609,44.68463473828768,-56.97689906464274,-0.22529820950761453,-0.22580952108272356,-0.3702064614093699,9168500.0,-0.0018996535830116956,0.003384431852297853
2015-03-18,1.0,110.43399963200093,110.29499969463049,110.55238051663552,48.63396552398086,-43.02310152485532,-0.21972257081985247,-0.19742001606880422,-0.5933082000246479,10592200.0,0.0021751449557474434,0.003192952016520631
2015-03-19,0.0,110.49799957180024,110.3199996944517,110.54285648905096,48.32427404555925,-42.85720800173453,-0.210682758204298,-0.17452350774208014,-0.6827184125331403,8594400.0,-0.0001809031312705045,0.0031772680975733288
2015-03-20,1.0,110.68000030246375,110.4199996933341,110.59333292568014,59.554926789439556,-1.117130422456536,-0.18654220227813184,-0.08997997857346718,0.4057019176078758,10524100.0,0.007326385614188524,0.0036591734731227206
2015-03-23,1.0,110.76600036492944,110.47600021278856,110.61047581238405,53.52345439562599,-22.90479393500152,-0.15999932561344576,-0.053827818954701456,-0.19783595986562205,6690500.0,-0.003501834984207308,0.0037305587157099836
2015-03-24,1.0,110.96200103467702,110.63800048586725,110.64809490329452,57.55886423093448,-3.910595213873591,-0.12755302865358634,0.002232159185851401,0.7876892297783219,7811400.0,0.003063581877011945,0.003288605135786119
2015-03-25,0.0,111.11399993669988,110.7739997843504,110.68571363120563,57.79099174001313,-3.3336158908801816,-0.09249771673168782,0.04772353095590631,0.9337311211036526,10458700.0,0.00017963212262395167,0.0032490587118116114
2015-03-26,0.0,111.33000030195713,110.91399993687867,110.72809455445125,61.21805666902965,-1.4492166364998282,-0.05264758773813777,0.10675292823606242,1.1506719288722476,12071000.0,0.0026944768946799424,0.0032932291481276056
2015-03-27,1.0,111.34199981671573,111.01100005958975,110.73714229025302,57.687253945127885,-14.88369605239307,-0.01511158802668873,0.13503241081910744,0.9146913211918144,10693400.0,-0.0018810379615687989,0.003371526839611635
2015-03-30,1.0,111.3519989012182,111.05899963307381,110.72333272318755,51.58429616141258,-39.130578544167975,0.012658912837471125,0.12374091629411055,1.212399145994284,5083200.0,-0.0035897112262489594,0.0029571767953237103
2015-03-31,1.0,111.32599945107101,111.14400024287401,110.73619006909786,53.69460041625037,-34.99988081289326,0.03537672529282193,0.12624797511422514,1.100199172007443,6393900.0,0.001441084891607547,0.002923119905966374
2015-04-01,1.0,111.30599975615739,111.20999984642863,110.73809487476237,54.36394834986108,-33.11700212250129,0.05445372234949084,0.13076171057616648,0.9071117766168105,9352000.0,0.00044963956206367506,0.0028881825006383498
2015-04-02,0.0,111.26399993959069,111.2970001207739,110.78476170061602,56.913008401639445,-21.333313150551703,0.0731559460408035,0.1479648408060541,0.8781470479980138,11279300.0,0.001708040659565091,0.0028788753362938325
2015-04-06,1.0,111.29400024369359,111.31800003020464,110.84523809433692,58.86640255188271,-11.333211360706208,0.09286931712565027,0.17172280146503738,0.9317039800832098,13041000.0,0.0013461502832985417,0.0028850156149578038
2015-04-07,1.0,111.37400054812431,111.36299972467125,110.8957141687047,56.12613170398859,-24.06009402407695,0.10957819369490363,0.17641369997191703,0.9878593461451745,11610000.0,-0.0013443405534141473,0.0028506329325346386
2015-04-08,1.0,111.4360000601113,111.38099975559115,110.94714282731216,57.12906961723556,-22.580585474694146,0.12439505771543154,0.18366251379754317,0.8319751820170286,13025200.0,0.0006281943045214344,0.002819119475371456
2015-04-09,0.0,111.49199981606007,111.39899978610872,111.03380947892157,57.42845678595187,-21.66689959740552,0.13728483370312233,0.18884393765388552,0.8683059922873414,13928200.0,0.0001793420969657955,0.0028131237012811337
2015-04-10,1.0,111.51199951142073,111.38799972550571,111.10761878493997,57.58800037875114,-29.76203407992932,0.14813772322746288,0.19154928132482496,0.14366170486430063,15656700.0,8.968917396434684e-05,0.002046814302217046
2015-04-13,1.0,111.44599914649129,111.36999969509243,111.15571412514362,51.742092044757726,-67.94866768327674,0.15234015261610445,0.16914987017067062,0.24328404509483445,13601100.0,-0.0025105243256567933,0.0019260432730688478
2015-04-14,1.0,111.4099990850091,111.39199981656671,111.19333321651531,51.742091960469125,-67.94866821818873,0.15180669005015313,0.14967283978634782,-0.06288150373065346,12650100.0,-3.75038888833501e-11,0.0017374500626447678
2015-04-15,1.0,111.38399963417649,111.40999984714388,111.2323808210095,54.06009758348039,-52.56367667115458,0.1499014026979058,0.14228025328891647,0.02695024985470371,13807500.0,0.0010786763576975389,0.0017627629020957152
2015-04-16,0.0,111.3779998780191,111.43499984703958,111.28714279819812,56.31948557386107,-37.97502587676852,0.14880895685103243,0.14443917346353885,-0.13436180940761816,15104300.0,0.0010774455798712168,0.0016213991951042935
2015-04-17,1.0,111.39999999967218,111.45599975554644,111.33761887248073,59.03194281901158,-18.987512711978617,0.15033727314576414,0.15645053832469102,0.18845829536677983,16105100.0,0.0013454258526175433,0.0015766629157828904
2015-04-20,0.0,111.46600036522746,111.45599975585938,111.38619050453106,57.49406878288356,-33.333332402802505,0.15212824050092733,0.15929210992158005,0.4953643634231836,14830800.0,-0.0005374198834982025,0.0011840444254280658
2015-04-21,0.0,111.5499999987483,111.4799995418787,111.40047600134497,59.21061992577979,-20.313282335669548,0.15507905492512633,0.16688231262192232,0.4316896465988375,16120200.0,0.0008065633104317183,0.0011508986653114683
2015-04-22,0.0,111.59399871760608,111.48899917589128,111.42952328593249,57.00671430551306,-33.33414047337161,0.15697231346932905,0.16454534764613982,0.314633659458691,14597500.0,-0.0007164129115632134,0.0011816687697276042
2015-04-23,1.0,111.58999938970803,111.48399963386355,111.43666621606265,53.77367177068882,-52.380836886160765,0.15583124507762758,0.1512669715108217,0.035897801344460474,13681100.0,-0.0010753214493074426,0.001146594479489511
2015-04-24,1.0,111.48999939113855,111.44499969540536,111.42714255210898,46.04042012232569,-94.28562083337333,0.14722797868041299,0.11281491309155456,-0.39433807765003676,12197200.0,-0.0029604541518454264,0.0013285126563512026
2015-04-27,1.0,111.43599853596092,111.4509994505942,111.41142817929388,50.02733976558355,-70.00032777688763,0.13677520761631345,0.09496412335991522,-0.10769339587125278,13034900.0,0.0015295857694870296,0.001372924226715239
2015-04-28,0.0,111.40199890187382,111.47599945031106,111.41476149781118,54.10864816844187,-42.85729915123747,0.1284307940022898,0.0950531395461951,-1.6037491215605622e-09,14630500.0,0.0017069665374169762,0.0014439293006967074
2015-04-29,0.0,111.39199981704353,111.4929992673248,111.43904731350995,54.94295369579013,-37.14291964354033,0.12219075746457003,0.09723061131369093,0.017937834258487488,16232500.0,0.00035875262568207944,0.0014464281428963784
2015-04-30,1.0,111.31999969589711,111.45499954280255,111.43523770292599,45.38999519688918,-98.57113253519645,0.11045791566572594,0.06352654847034955,-0.3765786487817034,14919300.0,-0.003855121881343404,0.0017769710140740239
2015-05-01,0.0,111.2639999397993,111.37699966546893,111.41714259583324,40.93380291460373,-85.45429336111107,0.09165698493268852,0.01645326200053887,-0.3505612495108563,11590700.0,-0.00225002251187556,0.0017528829539938463
2015-05-04,0.0,111.1740005506575,111.30499954330921,111.38999975335739,40.93380285011398,-72.86835472375842,0.06920258397502566,-0.02061501985562586,-0.350561249122191,10233500.0,-3.360356437553946e-11,0.0017528829540365306
2015-05-05,0.0,110.94199982035161,111.17199936111271,111.33095187320598,33.09569041605255,-94.19379581401263,0.037181264437977465,-0.09090401371021528,-0.9248508339492769,8581600.0,-0.0046906392012388,0.0020667201455144605
2015-05-06,0.0,110.6599990886748,111.02599945285915,111.26904696602196,30.551459387692873,-99.40508891478089,-0.0025929602798343866,-0.1616898591510818,-1.2198409108571984,7100400.0,-0.0019032000729297671,0.002026948526400236
2015-05-07,1.0,110.44399872148037,110.88199920868874,111.19904690801388,29.392720616303265,-90.3060312025375,-0.04673103257882769,-0.22328332177480092,-1.4421359866182428,5534400.0,-0.0009080039793997186,0.001923971323031868
2015-05-08,1.0,110.20399933218955,110.73399963599442,111.11047581395931,25.533873506460484,-97.71675807256234,-0.09708703577586685,-0.29851104856402344,-1.7207368101837004,3548200.0,-0.003362674881978167,0.002013800122033092
2015-05-11,0.0,110.01799927034975,110.59599991050361,111.03428541024526,32.49821541743361,-84.90569466253561,-0.14417165311067992,-0.33251012244993206,-1.55816055789685,5481800.0,0.0024621249726395344,0.0021844229684788957
2015-05-12,0.0,110.00800018325447,110.47500000180302,110.98857116767337,40.48995249276893,-65.82909412758661,-0.18066537989962914,-0.3266402870554259,-1.1649748826674389,8466700.0,0.0032748167745308976,0.0024812674554719307
2015-05-13,0.0,109.90000000160933,110.27999954514205,110.90952337473631,32.44600122150556,-99.00016779639105,-0.21936427121674434,-0.37415983648520523,-1.6865567897655669,7071800.0,-0.006346944927596798,0.002887484747896714
2015-05-14,1.0,109.81000061169266,110.12699966658651,110.8242852359939,32.347190434485256,-90.86738116661431,-0.2570761382456799,-0.4079236063614218,-1.4036328701280398,4630200.0,-9.119917374689201e-05,0.002855358535937867
2015-05-15,1.0,109.79199981716276,109.99799957467614,110.73285675185066,32.24136933016762,-91.32409920785457,-0.2917660889086907,-0.43052589156073395,-1.5631999813951831,2833300.0,-9.12770219311243e-05,0.0027764360270026503
2015-05-18,0.0,109.75399932917954,109.88599929976462,110.6423804886994,36.069443665753354,-83.4862130719051,-0.3193662410107234,-0.42976684941885424,-1.5784772519973744,3880800.0,0.001551502845088537,0.0027645399911521823
2015-05-19,0.0,109.73599853542449,109.87199935933947,110.57666597010125,45.10662657653368,-60.194290270052385,-0.3330088822188859,-0.3875794470515359,-1.2013662924080515,4744700.0,0.004191717597197053,0.00309375562178747
2015-05-20,1.0,109.77399902287125,109.83699951224028,110.4866659995275,39.602122974197734,-74.8427339500425,-0.3431298868800539,-0.38361390552472585,-1.1970136115750527,3080300.0,-0.0038112356396499125,0.003090506269325091
2015-05-21,1.0,109.73799896293879,109.77399978731572,110.38238053250171,35.393681356371616,-98.70102185552712,-0.3557936100223321,-0.40644850259144505,-1.3169755317051275,1496200.0,-0.003461443416084564,0.003148964918476269
2015-05-22,0.0,109.73799896240234,109.76499938978255,110.29190426915883,38.54028353387852,-83.47807100494555,-0.3658640595800226,-0.4061458578107846,-1.1636306250751183,4148800.0,0.0015539136962510192,0.003211483534868
2015-05-26,1.0,109.77200012156365,109.76299972537159,110.23333304356252,44.37550528451793,-51.37573645216005,-0.3675227430102323,-0.3741574767310709,-0.3896979362310492,5235800.0,0.003103075346415185,0.0031661301584012596
2015-05-27,1.0,109.69000091674923,109.71299972608685,110.16095225124131,42.82987546673418,-60.95214544815093,-0.3648990584202282,-0.35440432006021183,-0.3087227346784141,2460800.0,-0.0010918272744475654,0.003141347033709081
2015-05-28,0.0,109.74600067055226,109.75999984671175,110.09238070635568,47.279218525299,-35.23825451935232,-0.35458948897735937,-0.31335121120588383,0.027264177147983747,3349500.0,0.0024592097185454076,0.003212409455886424
2015-05-29,1.0,109.89999999770524,109.818999480322,110.0271424802783,49.02001458002291,-24.762036049581216,-0.33743982377271675,-0.2688411629541463,0.4650688333270778,4648400.0,0.0009994604323078082,0.0030668817016952185
2015-06-01,0.0,110.01199951004983,109.87499923622609,109.98047565348092,48.39423815451845,-28.57163579831916,-0.3167710304415559,-0.2340958571169125,0.18193118558502752,1868100.0,-0.00036308354322922565,0.003008606314584145
2015-06-02,0.0,110.0639984123111,109.91799926693736,109.94761839416056,49.094078157481654,-14.13087645965484,-0.29361983159709115,-0.201015036219232,-0.10880654712426092,6195400.0,0.0003632154302424251,0.002872345865915936
2015-06-03,0.0,110.03799896278977,109.8639999397695,109.89047568270139,41.38767304821404,-69.56471196287517,-0.27759377854441986,-0.21348956633373462,0.06388112393476829,4365000.0,-0.004629159545424089,0.0026083213578147663
2015-06-04,1.0,109.87200012454389,109.80900039754806,109.8376188740205,36.22453744696693,-94.68982923300482,-0.27310145239541606,-0.25513214779940085,-0.3193999470830957,951900.0,-0.003921213678443114,0.0028166655879453078
2015-06-05,0.0,109.59800110271571,109.74900055021047,109.7742858169547,31.93427147574364,-92.02426423226208,-0.28231168826070263,-0.31915263172184893,-0.7027440348192964,-956000.0,-0.003936650113846807,0.002985100072833743
2015-06-08,1.0,109.37800140708684,109.69500045856833,109.72666676910151,36.28121992631782,-77.91413969522955,-0.29531471595924264,-0.34732682675340243,-0.6469829589977454,663000.0,0.0021139311694815532,0.0030184237887089503
2015-06-09,0.0,109.05400238519906,109.55900039875507,109.67380959725804,31.72724485783162,-97.76531303307867,-0.3169983212528445,-0.4037327424272519,-1.49727216721698,-626700.0,-0.004402418805360853,0.0028700330865337655
2015-06-10,0.0,108.86400146767498,109.45100021523237,109.61571430111215,34.6708028574326,-88.82699225327563,-0.3397109075912069,-0.4305612529446563,-0.9746763666457561,580000.0,0.0014739384492821195,0.0028294820386583017
2015-06-11,1.0,108.69800110110641,109.28500061282514,109.52571433065194,31.809186015035003,-95.95951034238561,-0.36604936801519383,-0.47140320971114136,-0.9140767706065936,-911200.0,-0.0028516010873683717,0.0027880174202011285
