Date,Residual_y,Residual_x
2016-12-19,-0.060000419616700995,0.03999996185302557
2016-12-26,0.2399997711181623,-0.060000419616700995
2017-01-02,0.22999954223632812,0.2399997711181623
2017-01-09,0.28999996185302557,0.22999954223632812
2017-01-16,-0.020000457763671875,0.28999996185302557
2017-01-23,-0.1400003433227539,-0.020000457763671875
2017-01-30,0.01999950408935547,-0.1400003433227539
2017-02-06,0.15999889373779297,0.01999950408935547
2017-02-13,-0.1100006103515625,0.15999889373779297
2017-02-20,-0.07999992370605469,-0.1100006103515625
2017-02-27,-0.15999984741210938,-0.07999992370605469
2017-03-06,-0.869999885559082,-0.15999984741210938
2017-03-13,-0.7899999618530273,-0.869999885559082
2017-03-20,-0.869999885559082,-0.7899999618530273
2017-03-27,0.3000001907348633,-0.869999885559082
2017-04-03,0.5,0.3000001907348633
2017-04-10,0.6999998092651367,0.5
2017-04-17,0.06999969482421875,0.6999998092651367
2017-04-24,-0.1099996566772461,0.06999969482421875
2017-05-01,-0.3400001525878906,-0.1099996566772461
2017-05-08,-0.18000030517578125,-0.3400001525878906
2017-05-15,0.26999950408935725,-0.18000030517578125
2017-05-22,0.06999969482421875,0.26999950408935725
2017-05-29,-0.38000011444091975,0.06999969482421875
2017-06-05,-0.10000038146972301,-0.38000011444091975
2017-06-12,-0.3000001907348615,-0.10000038146972301
2017-06-19,-0.600000381469723,-0.3000001907348615
2017-06-26,0.029999732971193183,-0.600000381469723
2017-07-03,-0.17000007629394354,0.029999732971193183
2017-07-10,0.2799997329711914,-0.17000007629394354
2017-07-17,0.19999980926513672,0.2799997329711914
2017-07-24,0.6999998092651367,0.19999980926513672
2017-07-31,0.5699996948242205,0.6999998092651367
2017-08-07,0.5299997329711914,0.5699996948242205
2017-08-14,0.06000041961669922,0.5299997329711914
2017-08-21,0.010000228881835938,0.06000041961669922
2017-08-28,0.3400001525878906,0.010000228881835938
2017-09-04,0.3400001525878906,0.3400001525878906
2017-09-11,0.5600004196166992,0.3400001525878906
2017-09-18,0.07999992370605291,0.5600004196166992
2017-09-25,0.059999465942381036,0.07999992370605291
2017-10-02,-0.1100006103515625,0.059999465942381036
2017-10-09,0.23999977111816584,-0.1100006103515625
2017-10-16,0.2600002288818377,0.23999977111816584
2017-10-23,0.32999992370605113,0.2600002288818377
2017-10-30,0.6199989318847638,0.32999992370605113
2017-11-06,0.7999992370605451,0.6199989318847638
2017-11-13,0.7199993133544904,0.7999992370605451
2017-11-20,0.8400001525878888,0.7199993133544904
2017-11-27,-0.1400012969970703,0.8400001525878888
2017-12-04,-0.48000049591064453,-0.1400012969970703
2017-12-11,-0.6000003814697266,-0.48000049591064453
2017-12-18,-0.23999977111816406,-0.6000003814697266
2017-12-25,0.1700000762939453,-0.23999977111816406
2018-01-01,0.09999847412109375,0.1700000762939453
2018-01-08,0.3599987030029297,0.09999847412109375
2018-01-15,0.26999855041503906,0.3599987030029297
2018-01-22,0.6399993896484375,0.26999855041503906
2018-01-29,0.37999916076660156,0.6399993896484375
2018-02-05,-0.8600006103515625,0.37999916076660156
2018-02-12,-0.4200000762939453,-0.8600006103515625
2018-02-19,-0.12999916076660156,-0.4200000762939453
2018-02-26,-0.3600006103515625,-0.12999916076660156
2018-03-05,-0.31999969482421875,-0.3600006103515625
2018-03-12,-0.030000686645507812,-0.31999969482421875
2018-03-19,0.28999900817871094,-0.030000686645507812
2018-03-26,0.3099994659423828,0.28999900817871094
2018-04-02,0.05999946594238281,0.3099994659423828
2018-04-09,0.6299991607666016,0.05999946594238281
2018-04-16,0.1700000762939453,0.6299991607666016
2018-04-23,0.18000030517578125,0.1700000762939453
2018-04-30,0.3900012969970703,0.18000030517578125
2018-05-07,0.5700016021728516,0.3900012969970703
2018-05-14,0.8500003814697337,0.5700016021728516
2018-05-21,-0.12999916076660867,0.8500003814697337
2018-05-28,-0.23999977111817117,-0.12999916076660867
2018-06-04,-0.299999237060554,-0.23999977111817117
2018-06-11,-0.8799991607666087,-0.299999237060554
2018-06-18,-0.7199993133544993,-0.8799991607666087
2018-06-25,0.25,-0.7199993133544993
2018-07-02,0.03999900817871094,0.25
2018-07-09,-0.39999961853027344,0.03999900817871094
2018-07-16,-0.48999977111816406,-0.39999961853027344
2018-07-23,-0.18000030517578125,-0.48999977111816406
2018-07-30,-0.09000015258789062,-0.18000030517578125
2018-08-06,-0.20999908447265625,-0.09000015258789062
2018-08-13,-0.4400005340576172,-0.20999908447265625
2018-08-20,-0.04000091552734375,-0.4400005340576172
2018-08-27,0.12999916076660156,-0.04000091552734375
2018-09-03,-0.22999954223632812,0.12999916076660156
2018-09-10,-0.17999839782714844,-0.22999954223632812
2018-09-17,0.1100006103515625,-0.17999839782714844
2018-09-24,0.5900001525878906,0.1100006103515625
2018-10-01,0.9200000762939453,0.5900001525878906
2018-10-08,-0.4099998474121094,0.9200000762939453
