,Price,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-08-31,0.04773270832501586,0.10019697197947741,0.09473540214966991,0.0756578528415004,0.20335180701060634,0.013089521353681688,0.3573844052630285,0.39901350026260307,0.3604887760979357,0.05003238067988661,0.3618427443327167,0.17354687278890546
2015-09-07,0.0662954094960837,0.09144190968882338,0.08808742397549885,0.07339838932978071,0.22343126905248023,0.544292531524702,0.3410039423261446,0.3770555781277632,0.3610639965089911,0.1180265343574726,0.5662301551390231,0.17374771241071335
2015-09-14,0.06611858397148784,0.07513003962625531,0.07934652853970159,0.06875439422037322,0.143544849763653,0.3695030379041422,0.3199799613222081,0.3454060526705842,0.3273626334446049,0.09003630987266822,0.4438600924583859,0.19164661612001843
2015-09-21,0.04640678664725861,0.0644810662611105,0.0736693882886198,0.0654837313607779,0.23339016481118202,0.47407523931741624,0.29933818201418844,0.3301296322285388,0.36173257931238445,0.12639518757390586,0.6193814536201645,0.20825392448705593
2015-09-28,0.05303632759686694,0.05285984465015536,0.06813609994199565,0.06143100323021189,0.2376110219785823,0.4791237868275845,0.28015132579064556,0.3194456627217272,0.36139783709318646,0.16191702415069115,0.5556296153841276,0.2081841130206366
2015-10-05,0.08370901451399015,0.04761887591641034,0.0584676615291424,0.056715411198061005,0.1802075944380162,0.3574721879773748,0.26038028557917486,0.30177558637556523,0.3167458209067517,0.11496426917783399,0.4760418125199064,0.20941023687676857
2015-10-12,0.08971980100586885,0.042752678202248595,0.05139997824146092,0.0520572800498329,0.2101985536854914,0.40839962834779664,0.24211096480861194,0.2919745868302649,0.33761422728444623,0.14270441416680568,0.574176290704908,0.213605203217563
2015-10-19,0.1056306588214222,0.049547930465790535,0.046462076714755995,0.04883880427373244,0.35836255380887816,0.6078350973140197,0.2299518629948069,0.3017910370638005,0.41029687185011865,0.1645134118864235,0.6747136014063754,0.24884972283730583
2015-10-26,0.10757533495690907,0.05455761820647864,0.043536012257551326,0.04585912421937799,0.39067464293236254,0.6582267545559731,0.22346902058215712,0.3147569466798864,0.4244928155435973,0.18522561983126007,0.5823629268087541,0.2514697980398914
2015-11-02,0.11915491156835478,0.06262890500669793,0.041694052341557875,0.044238178461764255,0.4542490852925335,0.7635666427971697,0.2232246889843163,0.3345066713163993,0.4181249047502384,0.2117193229042712,0.6144753249860155,0.2473069898412269
2015-11-09,0.08379735983711012,0.07514259465870443,0.04546765978108935,0.042995865149717316,0.4651608267266305,0.8257364113360263,0.22748353062050042,0.35230763480244376,0.45566955386304336,0.24163590666892576,0.5632852159910376,0.23929464721726257
2015-11-16,0.11367453421108575,0.088891525529461,0.05007665664757621,0.04233488389871809,0.5087754143549468,0.9053704366750768,0.236068961987861,0.3730021591102106,0.4585470031912889,0.26730861062380773,0.5961127609810613,0.2403323502278013
2015-11-23,0.11729864819516578,0.08971651557695992,0.05403058302522301,0.03935601464502203,0.37016670866483925,0.6903760757816337,0.24255214719891277,0.3714629259270607,0.41980289638887697,0.2449559427172917,0.42514816855844767,0.26527616785559227
2015-11-30,0.11517721397426095,0.09447990010282192,0.05910155146009455,0.038318304491898214,0.4685499755816479,0.8844023422631936,0.25117559220453356,0.38519796400857403,0.4572503467032639,0.2615479920792044,0.6583211454037331,0.2851709203493646
2015-12-07,0.07849374056525904,0.09705626655819355,0.06462631502388827,0.03828144670506117,0.485483981679265,0.9406878440293834,0.2615127501303508,0.39893901693268247,0.5579551764842718,0.2986083229884368,0.571901017678748,0.2137520623287109
2015-12-14,0.07548838103890865,0.09870385120321257,0.07197419632458824,0.03817806762983911,0.4781223945707511,0.9062479395153005,0.2722578070375812,0.40883130093505093,0.5481407173076771,0.2566013405403695,0.5457894391075644,0.21452660294430803
2015-12-21,0.09608417110776135,0.09079743480551916,0.07500571043449489,0.03493313002286236,0.3463072938020786,0.5723056806565396,0.2779711146326514,0.3973108750573619,0.5348306847916173,0.20105688253713339,0.4169007826524605,0.22909080602161724
2015-12-28,0.08786353763267984,0.08869759128813504,0.07434422533251694,0.03249652848272544,0.3302406429845315,0.52541052819689,0.2796305617540693,0.38567670900474127,0.4943254261095944,0.17705957935222377,0.5326992587864119,0.22330034246364883
2016-01-04,0.03191019583258248,0.08511199929259583,0.07495534828149342,0.030613482032026296,0.40702482871471046,0.7096039252955866,0.2813879896178219,0.38739462007074266,0.5290812774016622,0.203531087320596,0.6304693272722849,0.23344841006525852
2016-01-11,0.009723313238256703,0.07910777592919316,0.07317673110709932,0.02899429638365647,0.3828163157770481,0.6458046120848211,0.2822627544344723,0.38527184968084077,0.5532613604110309,0.13805464962170533,0.5259896334986947,0.2210230870487268
2016-01-18,0.02165647345971622,0.062365940433695144,0.06534475488476132,0.02398787147054371,0.22792727695081094,0.02026624060526916,0.2752307596186746,0.35437285442943023,0.44073022225724456,0.07065426993158853,0.33868961699190225,0.3053155439030502
2016-01-25,0.03509238088352884,0.04784669868059399,0.053708720533196974,0.02043083265395551,0.1758864240303491,0.0679954367939587,0.26035777444403924,0.31741706246820545,0.34268409926672916,0.0,0.44985486436910826,0.28929646138091625
2016-02-01,0.007955462627365684,0.03639830624261864,0.046678927341861964,0.017248113238061302,0.21633699961878616,0.27267343724049165,0.2428302989760974,0.2949212668452265,0.3482682676504466,0.04955969087713076,0.5956392445618368,0.29176248223943413
