,Price,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-08-31,0.5934211274263328,0.6412191315490505,0.802027341382215,0.9511205426591562,0.07285192381599331,0.002887539628684821,0.4369712273875817,0.27460347411084757,0.2156206584191498,0.23192004365023472,0.43625300177209314,0.11973567843053212
2015-09-07,0.5960526413204277,0.6174165285787108,0.7693134572505518,0.9344609129679364,0.22128672970527963,0.25801605879680467,0.39190595218495755,0.25869012134743297,0.300465491300772,0.26719513241596604,0.9119084574783793,0.24071663351687855
2015-09-14,0.567105361068025,0.6023222039701321,0.7310704742436018,0.9156025580056495,0.2087926807468879,0.22844433230497319,0.35267696838718027,0.24555274300491975,0.31305598801503176,0.24531949996518992,0.6223236979496054,0.24033854947522848
2015-09-21,0.5855263347771045,0.596516666733937,0.6923667365640396,0.8926850022923039,0.21457049141415846,0.2338208932430308,0.31981319094777233,0.23942982090513787,0.3269118652891083,0.2639731751821863,0.6814359064829866,0.24673997032750827
2015-09-28,0.5855263347771045,0.5872278517219554,0.6576562443852072,0.8673995922022222,0.1879201367716543,0.17615172602741913,0.29129372101018025,0.23021416381917742,0.30348879937127815,0.24348638439730783,0.5717705923611336,0.24076469766820485
2015-10-05,0.6657895790242834,0.5970972036004298,0.6315465729699505,0.8410148073187731,0.23103111521954012,0.21409195271734638,0.2688296299349586,0.23166771539309444,0.32930119262644875,0.2795901152294957,0.7371882761252048,0.259641303117932
2015-10-12,0.6210527134734241,0.5921625138976243,0.6163415392794154,0.8150528650681266,0.23103111588356223,0.21409195328270003,0.2520058600666381,0.23641316789824196,0.30801344502343886,0.3052572951426161,0.6722862997926176,0.23491286159253832
2015-10-19,0.5657895413792415,0.608127685239386,0.6168023082901903,0.7923044463086035,0.40483966109854536,0.46608885752075313,0.2456263003975242,0.26568997459851895,0.36348716021181393,0.3284009863398728,0.9524617904264965,0.34142004734426734
2015-10-26,0.5921053077375493,0.6136429401014241,0.6166487185512739,0.7705708338252144,0.34720437458124326,0.35333743533548634,0.24388159634286888,0.27958075119521386,0.37215053355452177,0.30268102461478186,0.5221673979220873,0.3338975606858334
2015-11-02,0.5552632348359186,0.6133526577964734,0.6115803741151609,0.7476532941988219,0.2851748356796689,0.2709802013774216,0.2421936834814098,0.27837257819244515,0.36751526676633234,0.27867954801930583,0.48275650356438227,0.33830628500752213
2015-11-09,0.472368476694645,0.6148040420449663,0.6175702276539059,0.7276110119851595,0.3368398409819196,0.487391190275148,0.2431025881652759,0.2877155536256938,0.4570086182796634,0.30937427647631216,0.7650655373268138,0.29786981060069884
2015-11-16,0.45789483656844365,0.6081277132596232,0.6114267843831096,0.7050317303735207,0.2955440515808329,0.3806260195062917,0.2438748499395168,0.28790222012288563,0.46872034243631505,0.28398687254811483,0.5441044518466194,0.2863686435510313
2015-11-23,0.4710526570058615,0.565457171151259,0.5972968499163229,0.6783086794759456,0.21695742192804102,0.016916429495868135,0.23974934664278902,0.2682864410171701,0.4298548791626315,0.2572109507688173,0.3784643055210703,0.3397625652955899
2015-11-30,0.45921053077375507,0.5294629849963612,0.5811703072238539,0.6485412340265775,0.2047735880927548,0.06427696378319225,0.2325442995781251,0.25213894091421124,0.4278858996291254,0.23021548255690644,0.6187224675066285,0.33995122346759554
2015-12-07,0.3723684390496034,0.5085631231948413,0.5699585045425508,0.6191966231161303,0.23273013681018906,0.1199744649567922,0.22540912821928433,0.24646867257376281,0.49598788705903424,0.26958747613889716,0.7213582992751065,0.3059517563710358
2015-12-14,0.3381580055255393,0.47924526617132224,0.5552142256642332,0.5931501042266438,0.22136191349482232,0.08501176301405833,0.21867295684230037,0.24221727808411253,0.4300671360590726,0.22357145054457556,0.6284304486864696,0.23728066694581873
2015-12-21,0.3539474653405239,0.438896927456941,0.530333257865631,0.5650739890596044,0.14826832796426653,0.00888457505533169,0.20756409159621625,0.21856274512412116,0.3663671505812708,0.15672279996178987,0.34863753817514487,0.3116809638886372
2015-12-28,0.3500000062741737,0.4092888154393346,0.49209028962252543,0.5408033851209026,0.12406818693596988,0.025724919087750986,0.19283569431961,0.1944062627265259,0.3347034127161297,0.10861557840608643,0.5385692261996382,0.31192899127310136
2016-01-04,0.27631586047091194,0.38635703238874064,0.46091228836793197,0.5210148084765893,0.15986263128101785,0.08788223914110282,0.17849808388416882,0.18384060700077337,0.37075160350207736,0.15342183191745315,0.7352111757675082,0.32420984027142874
2016-01-11,0.18026315640874846,0.3596516614534455,0.43572414083288336,0.503509517685476,0.15665498706711,0.07680362991748124,0.16576850602307608,0.17863203873920702,0.3530032864880772,0.08966852698267755,0.656695689982233,0.3123066238410628
2016-01-18,0.2236842022708243,0.31930335046084535,0.3988634510029929,0.4821141713346644,0.1019592789999465,0.004877855903876793,0.1507311547996374,0.15855980321809116,0.2888349445347868,0.05288931848318673,0.3806150231337282,0.35073431410530265
2016-01-25,0.273684221093345,0.2769230902378632,0.35509136891020465,0.45894291805890264,0.04735532547069954,0.0025660635770474727,0.1296039172461793,0.12093805072243469,0.15165466149027212,0.018647198921049102,0.27543694393508333,0.2937002541431665
2016-02-01,0.24078948177459236,0.25166907558272933,0.32606356542567627,0.4342494715441032,0.1394540763288838,0.1805571738948769,0.10963059735283459,0.10823586246889821,0.218121183334339,0.052164297151886946,0.8625338435586273,0.37565460224814595
