,Price,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-08-31,0.32794373824405765,0.13236819264403307,0.1423751072324505,0.14345401178220085,0.6619036393434302,0.9590397290388744,0.08894472438573456,0.1668898764973365,0.3556143664556269,0.0,0.8811376259398092,0.7552963839016384
2015-09-07,0.24710018063664044,0.18675842739758833,0.1752840208648559,0.1630299684365556,0.6348762333112549,0.3829004051318333,0.12809068338363117,0.23164040727982,0.35742260381915625,0.0,0.21771271373865644,0.754971887247162
2015-09-14,0.23093146241094395,0.2537084108105264,0.21217080477875194,0.18851520731231286,0.6713890933378802,0.42175729923786986,0.17609789933229023,0.2911288624806625,0.33112378910288665,0.0,0.26454545091888365,0.7544542266147436
2015-09-21,0.2544815527292642,0.2987805296988584,0.23141740039551018,0.20541178633881596,0.4518563878756713,0.32039511126076115,0.21993037616789848,0.31047083747383075,0.25777885455099214,0.0,0.13944596841058035,0.7724999695382806
2015-09-28,0.20738137209262372,0.3403193326441819,0.24660911269847796,0.22253127168933984,0.39301390467025754,0.2895622256202608,0.256524458658159,0.31591732789095006,0.24799362209297976,0.0,0.1967714992073722,0.7746993593262921
2015-10-05,0.13954304921856112,0.3269894582621393,0.2766209616748312,0.24111382420563676,0.4284920383610732,0.31720121861672057,0.2883913126015173,0.3251543212179192,0.2611907383614846,0.0,0.2583473643695412,0.7735690703841478
2015-10-12,0.10386642861123482,0.3055962783508809,0.29713443399949035,0.25543596139383973,0.31700900944942745,0.2586305909726071,0.3111829812265415,0.31552445595707523,0.22505750677734268,0.0,0.16797031347663288,0.7823802916935869
2015-10-19,0.09349735749252377,0.2613524816470303,0.311250322065305,0.2641068440489366,0.164067110478061,0.16475163589594533,0.3201008944373663,0.28232223029353465,0.13032472289419264,0.0,0.12093732871989654,0.7946871377884057
2015-10-26,0.10421791374108078,0.22500817648397933,0.31667619313664785,0.2694718826933722,0.08585324238416159,0.10927642450668595,0.31556042539740825,0.24071065927559818,0.09943880313096405,0.0,0.15142408985495362,0.80370835842366
2015-11-02,0.09121264548666094,0.19072653112500507,0.32118779279348864,0.2709520347898371,0.060135620481851726,0.0904252242252378,0.3011279760026101,0.20221680344153994,0.15386634343522868,0.0,0.19850710331484459,0.773493886291964
2015-11-09,0.19226712601699766,0.1537725789897951,0.28992755188503605,0.27242826006573895,0.08207494436920115,0.10254118287912761,0.28178046612164764,0.17441035040154662,0.13980422815446447,0.0,0.2486431880722461,0.7721809122322452
2015-11-16,0.11124780070385856,0.12419221408669398,0.2582385297636196,0.2734236072201949,0.058344280848433905,0.08680263157065049,0.25896910419767133,0.14827265281360477,0.15451614714949718,0.0,0.20300468813699948,0.7673630801885316
2015-11-23,0.1050966517064946,0.13313216595300317,0.23629098179334873,0.2830059025758317,0.2759225480914843,0.19495903015701377,0.24413576154529842,0.16044713108514583,0.2163958784672495,0.0,0.447289853018168,0.8030295575538673
2015-11-30,0.09964850648988774,0.13564957766888244,0.2152616188434084,0.28618063964404983,0.13579272867140035,0.0796167225584462,0.22831998587603644,0.1463716586998326,0.16668530147568766,0.0,0.11317379250212171,0.822023174231918
2015-12-07,0.26801404029818665,0.13848969023491167,0.19571517702078267,0.2838993508255636,0.11216137104314972,0.061846142666197146,0.21135439550910334,0.13099927917648893,0.028957206080506975,0.0,0.20246408079503514,0.24732333599936784
2015-12-14,0.20316344997127664,0.1377416512648529,0.17227675941597553,0.28054760670889667,0.09955499571537962,0.1011444089812652,0.1938164661090804,0.11686551195679934,0.028319962109210978,0.0,0.2144911540827267,0.24722036084675775
2015-12-21,0.11599295890024089,0.1772464143738424,0.17844651816894236,0.2995052290520325,0.39660973766312313,0.7339482060976656,0.1921791005881791,0.16103682978852674,0.086785320936794,0.0,0.5847776664340234,0.4832775684308092
2015-12-28,0.15940243673003682,0.1835082914554548,0.18789712819755822,0.3121276642318499,0.302703765475168,0.5608520795519388,0.19604223990189246,0.17947466036765833,0.09475711953541643,0.0,0.16306668345105096,0.47754818927878834
2016-01-04,0.3140597487847566,0.18517643727798336,0.19049918826436552,0.31896007692289396,0.1492288427594376,0.23376785175539194,0.1946123830834418,0.1633630668863104,0.060873171936053606,0.0,0.09020206694114735,0.5044846928869042
2016-01-11,0.3142354997299459,0.1974942552120504,0.1999225076878391,0.32709220542743755,0.20492925538676643,0.3566585972806988,0.19302877801456195,0.16179580881214184,0.06958984404506746,0.0,0.29545536374230014,0.5097406610670254
2016-01-18,0.23198593456101438,0.24668234898997257,0.23003652024002452,0.3498580736750214,0.4134529148036249,1.0,0.2058797972682256,0.21211514240682705,0.16700288558916287,0.0,0.5050176927486996,0.5961927110359162
2016-01-25,0.1943761038382039,0.26178880777295055,0.2639869983736274,0.3504955429945098,0.4306750656690498,0.8330370458472419,0.22841533438009992,0.25579368420555143,0.23112185009686328,0.0,0.24709001760051127,0.572475225772032
2016-02-01,0.25026359708685186,0.269702540783195,0.27279963291614173,0.34480674226744445,0.29644368389859743,0.552420586148358,0.24825055464017232,0.2622334858862961,0.22059811756503517,0.0,0.13385072906918158,0.5778859507957859
2016-02-08,0.28576448350952144,0.28801445861494146,0.28522075609746045,0.33247628642267335,0.22790474976801367,0.4223598360085036,0.26096822026144595,0.2510043685207214,0.20304060911033717,0.0,0.1655372467456289,0.5844558803950022
