,Label,SMA5,SMA10,SMA21,RSI_14,WILLR_14,MACD_SIGNAL,MACD,ROC_14,Aobv,R(t-1),Vol(t-1)
2015-08-31,1.0,15.487999922156334,16.446000198692083,17.18714300959593,19.868638346960566,-98.9071048359477,-0.22796399949923243,-0.6048732473419527,-19.72899827806356,635400.0,-0.03392038489029714,0.01558537778418309
2015-09-14,0.0,15.323999979555605,16.233000090911986,17.093333427373853,29.88050778849937,-73.6000064159724,-0.3103834665892633,-0.6400613349493867,-14.84157934241485,11529000.0,0.03443614079287838,0.02020269909202484
2015-09-21,1.0,15.179999924302104,15.731999973237516,16.85809526181647,29.42750014985212,-76.00001029618724,-0.4422332541585544,-0.6826502946353123,-13.318157059408154,10534000.0,0.0013148916567984337,0.020432583881578523
2015-09-28,0.0,15.115999985694884,15.505999949961904,16.71571432053333,27.629944181405786,-81.72041856446783,-0.4943922502675945,-0.7030282347037549,-14.667424092056734,4207300.0,-0.014445129113262678,0.020204533493397386
2015-10-05,1.0,15.18399982351065,15.335999872833492,16.567142852090655,30.53776276971695,-77.95699355009123,-0.5354766197018651,-0.6998140974389475,-13.180521763593811,15356800.0,0.00932707409184963,0.02092497211533205
2015-10-12,0.0,15.149999809771776,15.236999894663693,16.420952390396877,30.53776281450498,-77.95699349401181,-0.5662454575877491,-0.689320809131285,-14.406785487601885,23283300.0,1.3769985152123354e-10,0.019981194147275616
2015-10-19,0.0,15.259999845772981,15.239999961808326,16.292857126600683,42.261081022056224,-52.96053101355073,-0.577912975556591,-0.6245830474319582,-11.211266363641487,30430500.0,0.04026406710372066,0.02404611409983118
2015-10-26,0.0,15.297999953657387,15.238999938979749,16.170476188666765,38.373603550853765,-64.1447425926351,-0.581103848745936,-0.5938673415033158,-10.712219651146688,22487700.0,-0.02157361254378587,0.02375901322588658
2015-11-02,0.0,15.295999908477068,15.205999947085974,16.041428613315027,34.18973547974499,-72.31404734997685,-0.5841908570446841,-0.5965388902396764,-10.979230497923751,15075600.0,-0.027237358812309487,0.023927275219986433
2015-11-09,0.0,15.305999946445226,15.244999884977938,15.928571475666192,37.67451982451893,-50.84747743040627,-0.5825285696328564,-0.5758794199855455,-5.82403735362019,24554700.0,0.013333319996198245,0.022383989380001405
2015-11-16,1.0,15.260000038832425,15.204999924302097,15.801428615103164,34.88913502550257,-61.43789160002899,-0.5811161871809407,-0.5754666573732781,-5.149392823502761,16714600.0,-0.018421034828096983,0.021945039434156
2015-11-23,1.0,14.965999989122153,15.112999917447567,15.650952386827695,29.588497676866382,-97.51552972803964,-0.5886612821940223,-0.6188416622463482,-7.388206840752184,8445700.0,-0.042225208165402206,0.023982855158163365
2015-11-30,0.0,14.718000034213066,15.007999993935226,15.483333317665828,28.76670286314006,-92.8176711493908,-0.6018385264637657,-0.654547503542739,-7.501628336547798,109000.0,-0.007697667225138982,0.023990055426973265
2015-12-07,0.0,14.573999979257584,14.934999943867329,15.318095209676596,30.652361109654958,-87.29283939579861,-0.6148879756981834,-0.6670857726358541,-3.578667660973857,12267800.0,0.007052145451514669,0.022692442395499297
2015-12-14,0.0,14.371999934345485,14.838999940395354,15.171428500953176,29.885578905617162,-90.76091321983854,-0.6272076975377121,-0.6764865848958266,-7.375979951504425,-1942800.0,-0.006302531614077345,0.020071563066108505
2015-12-21,0.0,14.093999866813423,14.676999952822921,15.013333232147353,24.955445228670076,-98.31223772244316,-0.6475245989532814,-0.7287922046155586,-11.045366815158577,-22586900.0,-0.0465116179262246,0.022911101538413053
2015-12-28,0.0,13.889999964892862,14.427999977007506,14.876666616024005,23.323155207535482,-96.64178455145193,-0.6744612291895362,-0.782207750134555,-12.86933118351822,-37443300.0,-0.019216503038459898,0.022920567674024207
2016-01-04,0.0,13.731999971836805,14.225000003024935,14.765238082366327,25.73747644013335,-90.47618056001608,-0.700683152968329,-0.8055708480834998,-10.792803901191757,-23606300.0,0.009042944666321606,0.023389274717359194
2016-01-11,0.0,13.547999956965446,14.060999968111513,14.666666622722433,25.521122095933876,-91.5751069163984,-0.7239641607703455,-0.8170881919784119,-11.815181548763382,-43294500.0,-0.002240529025026694,0.022934980280548425
2016-01-25,0.0,13.270000080436466,13.821000007390975,14.546190445288305,21.83191803829926,-98.70967833879483,-0.7514658340367116,-0.8614725271021761,-15.511547713680702,-54652600.0,-0.04191612817491075,0.024401599492982155
2016-02-01,0.0,12.803999903410675,13.346999934151768,14.276666597894259,24.360927412787035,-81.28342663926344,-0.8266342653097427,-0.9727503490772573,-19.584957534455658,-54876500.0,0.027340506707296708,0.025352699419060456
2016-02-08,0.0,12.681999780565501,13.206999876201156,14.160952297300101,30.86740740112226,-71.1229951493331,-0.8519788768501529,-0.9533573230117938,-14.800001853489892,-40127200.0,0.0306451714142546,0.027827878815671944
2016-02-22,1.0,12.51599979647994,13.031999876722693,14.032380878002868,29.09424719292236,-77.80748729959652,-0.8710314824796854,-0.9472419049978154,-17.565790155368504,-52951000.0,-0.01956181501929599,0.02699043352166743
2016-02-29,1.0,12.529999731868505,12.753999902442098,13.78380943672288,28.42865016590976,-74.39447469606364,-0.8904789017319865,-0.917854576815234,-12.946118920130086,-70985800.0,-0.004800033533400638,0.025721795406541206
2016-03-07,1.0,12.56799983921647,12.685999871313573,13.661904700142998,31.31765977589448,-69.20414418806608,-0.8889313037223444,-0.8827409116837757,-11.212976883350576,-58846600.0,0.012057923964972517,0.0263646437645745
2016-03-14,0.0,12.641999815791845,12.661999798178673,13.537618956828402,40.9076929401244,-46.494473181244004,-0.8712446746404382,-0.8004981583128128,-7.9131662643123315,-47544400.0,0.044479702394382814,0.029708245084035915
2016-03-21,1.0,12.823999783664942,12.669999790072442,13.443333218480863,45.176776124161115,-25.641040684895255,-0.8377570529391276,-0.7038065661338848,-5.2854124578578805,-39640000.0,0.02205322999794679,0.030599454155743177
2016-03-28,1.0,13.039999767899513,12.74799976232648,13.3757141668314,47.16136743403977,-5.050523062417911,-0.7919781101140551,-0.6088623388137648,0.36955047867253,-23324900.0,0.010416692706395336,0.0281161443672307
2016-04-04,0.0,13.221999928623436,12.87599983024597,13.28761895628912,44.322695425785405,-18.719172790140316,-0.7427594431246256,-0.5458847751669076,0.6028630028333033,-32717400.0,-0.01693663755893926,0.027998684230489138
2016-04-11,1.0,13.3159999833405,12.941999911278486,13.19904754407349,40.97387737942083,-33.00488707166003,-0.6968988285093198,-0.5134563700480967,-2.4645250872246045,-46407200.0,-0.021722842891228056,0.028504479218353713
2016-04-18,1.0,13.338000106483696,12.989999961137773,13.149999937152577,44.11015570747742,-23.152678754926768,-0.6507678118353969,-0.466243745139705,-0.7484987559064749,-38211500.0,0.015313920020782357,0.02884872006131731
2016-04-25,0.0,13.362000274300573,13.093000028982757,13.120476132787408,48.5280714464748,-10.144926136881727,-0.6006160172260477,-0.4000088387886507,5.937501595675731,-27534700.0,0.022624448275553766,0.026740284373345784
2016-05-02,0.0,13.458000372409819,13.249000070154665,13.109999974724794,54.9234770604113,-8.171205687449012,-0.541226983522473,-0.3036708487081743,16.48716449863652,-12086100.0,0.036873154993511514,0.021365914789772317
2016-05-09,0.0,13.704000278621914,13.463000103622676,13.128571419212077,60.4300429789127,-1.976292432435467,-0.4696316444381767,-0.1832502881009912,17.58064814737036,7445900.0,0.036984316397415284,0.022071157651703217
2016-05-16,1.0,13.91600017231703,13.616000077828767,13.156666664431489,54.13046053484455,-20.15811351631296,-0.4004074217974338,-0.1235105312344622,10.485134535969584,-810900.0,-0.031550070383771556,0.024159651521278993
2016-05-23,0.0,14.160000034511091,13.749000070497393,13.214285668014062,57.83504423275944,-5.928877014596868,-0.3296420235662833,-0.04658043064168105,15.562648373123976,14304200.0,0.025495725722471052,0.02327416252078783
2016-06-06,1.0,14.379999920427801,13.871000097364185,13.274761834832887,59.59230017345376,-6.39999383358969,-0.25799716480722873,0.028582270228989515,17.279998753644943,21092000.0,0.01243096088502127,0.022971019629386646
2016-06-13,1.0,14.609999846190215,14.157000062406064,13.447618982486782,62.78966986829153,-1.2500283239183063,-0.11599187286556428,0.166981306329113,19.062744950539226,56459100.0,0.012837809271379674,0.022492803188746396
2016-06-20,1.0,14.857999797940256,14.386999985128643,13.604285646556388,66.12713743386195,-8.185069735673755,-0.04311467008297591,0.24839414104737756,16.80608446000547,65472800.0,0.024683114649517668,0.020913122527578796
2016-06-27,0.0,15.015999982386825,14.588000008448958,13.740952353484575,64.60914628018443,-11.387887493897065,0.0259420639981833,0.3021690003228201,13.616078428322435,56872600.0,-0.005859322532747235,0.021144605709759692
2016-07-11,0.0,15.086000059992074,14.732999990209938,13.847142853743973,60.302449737367084,-20.640563246197686,0.08477685522988734,0.3201160201567035,10.530193809939853,45149400.0,-0.01702686434391021,0.022281376394033263
2016-07-18,0.0,15.212000084251164,14.910999965220691,14.103809536652905,55.81492684303148,-25.266900955307005,0.18534513665748495,0.3571931787061473,13.935678723269557,48110300.0,-0.0424710316367628,0.025127879193672
2016-07-25,0.0,15.126000214904545,14.992000006422401,14.222380999660206,56.33563178826708,-28.695642834236978,0.21725155348702874,0.3448772208052038,12.594268854287014,55280100.0,0.0033602271328927458,0.025123957846275344
2016-08-01,0.0,14.984000208109617,15.00000009524822,14.31619053655437,51.499136513632806,-46.60632147143614,0.23415765907237507,0.3017820814137604,7.374631116285157,45699200.0,-0.024782308891902027,0.026285685918851807
2016-08-08,1.0,14.838000108987094,14.962000084489585,14.37000006640951,48.13154359280933,-73.18438228096274,0.23577467406946867,0.24224273405784302,1.5647177704706376,31282700.0,-0.01923081592108522,0.025382240451525467
2016-08-15,1.0,14.602000049293043,14.918000031173227,14.41380959400109,49.15456965254776,-68.71511297746108,0.22846299048563795,0.19921625615031502,-1.5089181189330387,41769100.0,0.0056022352811071485,0.023299082736927674
2016-08-22,0.0,14.538000107765196,14.875000096008183,14.460476284239974,51.718414188395535,-57.54188579148576,0.21860844411034788,0.17919025860918758,3.116151045151509,52578000.0,0.01392762994077823,0.021809576095762374
2016-08-29,0.0,14.57600002232194,14.85100011861324,14.54476197435033,58.09064349831766,-28.834370363933004,0.21611288366990897,0.20613064190815322,4.4198919945599835,57418500.0,0.03846150031274176,0.02310201432512523
2016-09-12,1.0,14.63799991515279,14.811000061631205,14.630952425081107,54.624591045343585,-44.17179195905309,0.21387944567513123,0.20494569369602011,1.432469623319738,36523600.0,-0.016534390870386995,0.02351872110355251
2016-09-19,0.0,14.718000029653311,14.660000039473175,14.736666678608882,51.71863288165903,-57.66874046275339,0.19296801926015822,0.1497129177357479,-2.2681798458081124,36150700.0,0.01806805127507105,0.02526878697696426
2016-09-26,1.0,14.693999863028528,14.61599998539686,14.754761877244428,49.14497512205083,-69.81135233679535,0.17848202598962523,0.12053805290749331,-5.989583909798886,28288700.0,-0.014334473492637612,0.024311278208338276
2016-10-03,1.0,14.583999826163055,14.579999924242497,14.75428567614584,50.77792450325318,-61.63524560287452,0.1641210165715388,0.10667697889919303,-4.58415681186389,36081300.0,0.009002777917179072,0.024553136280869314
2016-10-10,1.0,14.611999892771243,14.624999903962017,14.796666644236872,55.93524770955949,-33.96225894941944,0.15723705892675163,0.1297012283476029,-6.94924986184482e-08,49140300.0,0.030199076095592137,0.025704699851341346
2016-10-17,1.0,14.769999883204699,14.714999960511923,14.830000014035473,57.77603680194877,-23.27043101068468,0.15775431784442934,0.1598233535151401,-2.3166000796621753,59701600.0,0.011325787994620695,0.023930418411656097
2016-10-24,1.0,14.89200000581145,14.805000017732382,14.858571460843084,58.651420452049194,-10.344802625252713,0.1638001984306127,0.18798372077534609,2.5537641145185104,67024900.0,0.005270087183939953,0.020829133234595322
2016-10-31,0.0,15.070000073641538,14.881999968335032,14.883809543415195,59.44371891198638,-8.053684876211653,0.17373784738543147,0.2134884432047066,2.6791668457873454,74746800.0,0.004587135906211737,0.02083785767887457
2016-11-07,1.0,15.188000105053186,14.885999965608121,14.891904785398927,56.606877492579294,-19.463087502906106,0.18248559780806795,0.21747659949861387,4.120875050110573,60180900.0,-0.011089372053182611,0.019773623023262514
2016-11-14,0.0,15.126000023812058,14.868999958291647,14.860476221825396,49.69584958437211,-50.33557779251902,0.18227401788162556,0.18142769817585602,2.9411770777816457,44285400.0,-0.030343010447146934,0.02092702678693912
2016-11-21,1.0,14.97199993363023,14.870999908417463,14.819523811950571,45.89190406085719,-81.88979301839716,0.17141577521723728,0.12798280455968403,0.34819079002688147,31949900.0,-0.01972788898053035,0.021698105163283063
2016-11-28,1.0,14.85399990257621,14.87299995419383,14.803333328125023,49.61557209263015,-61.41732653920139,0.15821107807520082,0.10539228950705493,0.7554921197495109,49347100.0,0.018043041177055796,0.021921227363568906
2016-12-05,1.0,14.7899999628067,14.93000001822412,14.778095245737404,54.06722659452267,-34.64565040753733,0.14929178955905353,0.11361463549446427,-0.7275109410865029,70369900.0,0.023176560989595085,0.020213195908253708
