Date,price,processed_price
2015-01-12,0.48100462381628883,0.45458122225830255
2015-01-19,0.4945267809946019,0.44960817807904707
2015-01-26,0.5376689716970562,0.4738751202772997
2015-02-02,0.45267220424180543,0.489446007612667
2015-02-09,0.4333550473877299,0.5280839599666383
2015-02-16,0.4198328902094177,0.4643339990861177
2015-02-23,0.46168697569401385,0.43689873694191306
2015-03-02,0.3650997176190387,0.42076230290342664
2015-03-09,0.4063102417629061,0.4526698466503616
2015-03-16,0.46941413319656355,0.37808482387150644
2015-03-23,0.4610434143532842,0.3990243555721307
2015-03-30,0.47649723809018507,0.45521220195200307
2015-04-06,0.4649067474704598,0.45828426137597766
2015-04-13,0.49195106182708503,0.471677396856216
2015-04-20,0.48100462381628883,0.4644343976938963
2015-04-27,0.4063102417629061,0.48561997060942286
2015-05-04,0.4030909612546596,0.48030324334769237
2015-05-11,0.3972954703106977,0.417270394835513
2015-05-18,0.3708952085630006,0.40334322683925095
2015-05-25,0.3953638037521099,0.396040175897296
2015-06-01,0.2910498794427836,0.37279344362662137
2015-06-08,0.2929815460013714,0.38898147886086676
2015-06-15,0.3335480175363097,0.3051683344096574
2015-06-22,0.26915651215299263,0.2918131913659643
2015-06-29,0.28396677454916297,0.32314696947957966
2015-07-06,0.28010295016378883,0.27521970770611226
2015-07-13,0.30650370317968356,0.2789745291413217
2015-07-20,0.32775301786054634,0.2764332675770076
2015-07-27,0.3522216130496547,0.29792319344433427
2015-08-03,0.3329039649273806,0.31942097179688034
2015-08-10,0.3245332460841004,0.34359592467117306
2015-08-17,0.36896354200441284,0.3318548955055869
2015-08-24,0.3200258603579966,0.3228016164957337
2015-08-31,0.3374113506534844,0.3581147785801173
2015-09-07,0.3238891934751722,0.3237426101746177
2015-09-14,0.33805540326241346,0.33205747753855963
2015-09-21,0.32710896525161726,0.3223024595894559
2015-09-28,0.3708952085630006,0.3323357278361261
2015-10-05,0.3412751750388585,0.32502830858455756
2015-10-12,0.36960710334514335,0.3601177896124623
2015-10-19,0.36831948939548464,0.34176196443272655
2015-10-26,0.34900184127320966,0.3620341197916357
2015-11-02,0.2717322313205086,0.36458248224025613
2015-11-09,0.2910498794427836,0.34898109581164505
2015-11-16,0.29555726516888825,0.28197197551972675
2015-11-23,0.3052155979618263,0.2860670842678239
2015-11-30,0.2710881787115804,0.29054447188923405
2015-12-07,0.300064650894992,0.29937141470599116
2015-12-14,0.28010295016378883,0.27258130460175956
2015-12-21,0.25627840758360865,0.2918836620905143
2015-12-28,0.25627840758360865,0.2787375542980719
2016-01-04,0.2981329843364042,0.25658869671828466
2016-01-11,0.315518474631892,0.2526351145056971
2016-01-18,0.30972298368793005,0.28671771175599403
2016-01-25,0.3425627889885181,0.3072517892028337
2016-02-01,0.3406311224299303,0.3061000878967075
2016-02-08,0.36960710334514335,0.3331900049949663
2016-02-15,0.3708952085630006,0.33642002344045796
2016-02-22,0.3818416465737968,0.36108058063903314
2016-02-29,0.344494455547105,0.366553138298257
2016-03-07,0.34707017471462187,0.37662835526906147
2016-03-14,0.3953638037521099,0.3473848815517506
2016-03-21,0.3915004706349343,0.344305770068134
2016-03-28,0.41725717104190085,0.38389641480945436
2016-04-04,0.44108171362208104,0.3877522740484567
2016-04-11,0.4455890993481848,0.4098487712941088
2016-04-18,0.4179007323826305,0.4335952778908023
2016-04-25,0.44172576623100923,0.4415804499072671
2016-05-02,0.44687720456604296,0.4199920373183037
2016-05-09,0.46168697569401385,0.43594117387631215
2016-05-16,0.41918883760048864,0.44306982932201144
2016-05-23,0.4249838372762511,0.45665175133043956
2016-05-30,0.46812651924690485,0.4237529080009397
2016-06-06,0.48229223776594754,0.42269708405312123
2016-06-13,0.49967821932963474,0.458367568412438
2016-06-20,0.5054732190053981,0.47650890332939166
2016-06-27,0.5550549532607434,0.49419786576371383
2016-07-04,0.5936897582370939,0.5021719905760591
2016-07-11,0.5299423054627059,0.5448062793548614
2016-07-18,0.5473277957581937,0.5845286538205059
2016-07-25,0.5788794958409227,0.5386340786139661
2016-08-01,0.5241468145187431,0.5448921905714181
2016-08-08,0.5537668480428852,0.572234127260252
2016-08-15,0.5441085152499472,0.5316224549890949
2016-08-22,0.5350932525295393,0.548992566255813
2016-08-29,0.5331615859709515,0.5440654129736844
2016-09-05,0.49581488621245917,0.5356926880055521
2016-09-12,0.5003222719385638,0.5325926070145384
2016-09-19,0.5280106389041181,0.500997744315522
2016-09-26,0.540244690864573,0.49910445409168513
2016-10-03,0.4861560621513217,0.5217802706431236
2016-10-10,0.4726339049730095,0.5359965054486402
2016-10-17,0.5022539384971516,0.493577206693808
2016-10-24,0.45911174779469643,0.4747661145876023
2016-10-31,0.4642626948615307,0.49602764037327596
2016-11-07,0.33612373670382567,0.463964292277673
2016-11-14,0.2794593888230583,0.4625222867481176
2016-11-21,0.26658079298547577,0.3557594920996685
2016-11-28,0.2569219689243383,0.2896045124930522
2016-12-05,0.245331478304613,0.26709149899557083
2016-12-12,0.20605311198753284,0.2550447795652113
2016-12-19,0.21828716394798775,0.24326075351231502
2016-12-26,0.25949768809185514,0.2085102568790944
2017-01-02,0.2743079504880255,0.21247586591199585
2017-01-09,0.2826786693313048,0.2474367248797149
2017-01-16,0.2607857933097124,0.265987117536449
2017-01-23,0.2607857933097124,0.27625587135265217
2017-01-30,0.25627840758360865,0.25989212371614023
2017-02-06,0.2852543884988217,0.25697118653669726
2017-02-13,0.2788153362141301,0.2527033891305681
2017-02-20,0.3200258603579966,0.27602558243035347
2017-02-27,0.2504829166396467,0.27483665163252446
