Date,processed_price,,,,,
5/9/2016,0.446877205,0.441725766,0.417900732,0.445589099,0.441081714,0.417257171
5/16/2016,0.461686976,0.446877205,0.441725766,0.417900732,0.445589099,0.441081714
5/23/2016,0.419188838,0.461686976,0.446877205,0.441725766,0.417900732,0.445589099
5/30/2016,0.424983837,0.419188838,0.461686976,0.446877205,0.441725766,0.417900732
6/6/2016,0.468126519,0.424983837,0.419188838,0.461686976,0.446877205,0.441725766
6/13/2016,0.482292238,0.468126519,0.424983837,0.419188838,0.461686976,0.446877205
6/20/2016,0.499678219,0.482292238,0.468126519,0.424983837,0.419188838,0.461686976
6/27/2016,0.505473219,0.499678219,0.482292238,0.468126519,0.424983837,0.419188838
7/4/2016,0.555054953,0.505473219,0.499678219,0.482292238,0.468126519,0.424983837
7/11/2016,0.593689758,0.555054953,0.505473219,0.499678219,0.482292238,0.468126519
7/18/2016,0.529942305,0.593689758,0.555054953,0.505473219,0.499678219,0.482292238
7/25/2016,0.547327796,0.529942305,0.593689758,0.555054953,0.505473219,0.499678219
8/1/2016,0.578879496,0.547327796,0.529942305,0.593689758,0.555054953,0.505473219
8/8/2016,0.524146815,0.578879496,0.547327796,0.529942305,0.593689758,0.555054953
8/15/2016,0.553766848,0.524146815,0.578879496,0.547327796,0.529942305,0.593689758
8/22/2016,0.544108515,0.553766848,0.524146815,0.578879496,0.547327796,0.529942305
8/29/2016,0.535093253,0.544108515,0.553766848,0.524146815,0.578879496,0.547327796
9/5/2016,0.533161586,0.535093253,0.544108515,0.553766848,0.524146815,0.578879496
9/12/2016,0.495814886,0.533161586,0.535093253,0.544108515,0.553766848,0.524146815
9/19/2016,0.500322272,0.495814886,0.533161586,0.535093253,0.544108515,0.553766848
9/26/2016,0.528010639,0.500322272,0.495814886,0.533161586,0.535093253,0.544108515
10/3/2016,0.540244691,0.528010639,0.500322272,0.495814886,0.533161586,0.535093253
10/10/2016,0.486156062,0.540244691,0.528010639,0.500322272,0.495814886,0.533161586
10/17/2016,0.472633905,0.486156062,0.540244691,0.528010639,0.500322272,0.495814886
10/24/2016,0.502253938,0.472633905,0.486156062,0.540244691,0.528010639,0.500322272
10/31/2016,0.459111748,0.502253938,0.472633905,0.486156062,0.540244691,0.528010639
11/7/2016,0.464262695,0.459111748,0.502253938,0.472633905,0.486156062,0.540244691
11/14/2016,0.336123737,0.464262695,0.459111748,0.502253938,0.472633905,0.486156062
11/21/2016,0.279459389,0.336123737,0.464262695,0.459111748,0.502253938,0.472633905
11/28/2016,0.266580793,0.279459389,0.336123737,0.464262695,0.459111748,0.502253938
12/5/2016,0.256921969,0.266580793,0.279459389,0.336123737,0.464262695,0.459111748
12/12/2016,0.245331478,0.256921969,0.266580793,0.279459389,0.336123737,0.464262695
12/19/2016,0.206053112,0.245331478,0.256921969,0.266580793,0.279459389,0.336123737
12/26/2016,0.218287164,0.206053112,0.245331478,0.256921969,0.266580793,0.279459389
1/2/2017,0.259497688,0.218287164,0.206053112,0.245331478,0.256921969,0.266580793
1/9/2017,0.27430795,0.259497688,0.218287164,0.206053112,0.245331478,0.256921969
1/16/2017,0.282678669,0.27430795,0.259497688,0.218287164,0.206053112,0.245331478
1/23/2017,0.260785793,0.282678669,0.27430795,0.259497688,0.218287164,0.206053112
1/30/2017,0.260785793,0.260785793,0.282678669,0.27430795,0.259497688,0.218287164
2/6/2017,0.256278408,0.260785793,0.260785793,0.282678669,0.27430795,0.259497688
