Date,processed_price,,,,,
5/16/2016,0.487741841,0.441290278,0.500645114,0.433548413,0.369032291,0.330322594
5/23/2016,0.510967684,0.487741841,0.441290278,0.500645114,0.433548413,0.369032291
5/30/2016,0.529032242,0.510967684,0.487741841,0.441290278,0.500645114,0.433548413
6/6/2016,0.553548314,0.529032242,0.510967684,0.487741841,0.441290278,0.500645114
6/13/2016,0.601290229,0.553548314,0.529032242,0.510967684,0.487741841,0.441290278
6/20/2016,0.58967743,0.601290229,0.553548314,0.529032242,0.510967684,0.487741841
6/27/2016,0.556129018,0.58967743,0.601290229,0.553548314,0.529032242,0.510967684
7/4/2016,0.624516072,0.556129018,0.58967743,0.601290229,0.553548314,0.529032242
7/11/2016,0.539354812,0.624516072,0.556129018,0.58967743,0.601290229,0.553548314
7/18/2016,0.545806448,0.539354812,0.624516072,0.556129018,0.58967743,0.601290229
7/25/2016,0.498064534,0.545806448,0.539354812,0.624516072,0.556129018,0.58967743
8/1/2016,0.461935417,0.498064534,0.545806448,0.539354812,0.624516072,0.556129018
8/8/2016,0.472257987,0.461935417,0.498064534,0.545806448,0.539354812,0.624516072
8/15/2016,0.498064534,0.472257987,0.461935417,0.498064534,0.545806448,0.539354812
8/22/2016,0.57032252,0.498064534,0.472257987,0.461935417,0.498064534,0.545806448
8/29/2016,0.53806446,0.57032252,0.498064534,0.472257987,0.461935417,0.498064534
9/5/2016,0.476129043,0.53806446,0.57032252,0.498064534,0.472257987,0.461935417
9/12/2016,0.509677332,0.476129043,0.53806446,0.57032252,0.498064534,0.472257987
9/19/2016,0.482580556,0.509677332,0.476129043,0.53806446,0.57032252,0.498064534
9/26/2016,0.499354762,0.482580556,0.509677332,0.476129043,0.53806446,0.57032252
10/3/2016,0.556129018,0.499354762,0.482580556,0.509677332,0.476129043,0.53806446
10/10/2016,0.578064509,0.556129018,0.499354762,0.482580556,0.509677332,0.476129043
10/17/2016,0.588387079,0.578064509,0.556129018,0.499354762,0.482580556,0.509677332
10/24/2016,0.597419296,0.588387079,0.578064509,0.556129018,0.499354762,0.482580556
10/31/2016,0.575483805,0.597419296,0.588387079,0.578064509,0.556129018,0.499354762
11/7/2016,0.516128969,0.575483805,0.597419296,0.588387079,0.578064509,0.556129018
11/14/2016,0.478709623,0.516128969,0.575483805,0.597419296,0.588387079,0.578064509
11/21/2016,0.512258036,0.478709623,0.516128969,0.575483805,0.597419296,0.588387079
11/28/2016,0.556129018,0.512258036,0.478709623,0.516128969,0.575483805,0.597419296
12/5/2016,0.632258061,0.556129018,0.512258036,0.478709623,0.516128969,0.575483805
12/12/2016,0.632258061,0.632258061,0.556129018,0.512258036,0.478709623,0.516128969
12/19/2016,0.637419345,0.632258061,0.632258061,0.556129018,0.512258036,0.478709623
12/26/2016,0.624516072,0.637419345,0.632258061,0.632258061,0.556129018,0.512258036
1/2/2017,0.663225769,0.624516072,0.637419345,0.632258061,0.632258061,0.556129018
1/9/2017,0.661935417,0.663225769,0.624516072,0.637419345,0.632258061,0.632258061
1/16/2017,0.669677406,0.661935417,0.663225769,0.624516072,0.637419345,0.632258061
1/23/2017,0.667096702,0.669677406,0.661935417,0.663225769,0.624516072,0.637419345
1/30/2017,0.651612848,0.667096702,0.669677406,0.661935417,0.663225769,0.624516072
2/6/2017,0.672257987,0.651612848,0.667096702,0.669677406,0.661935417,0.663225769
2/13/2017,0.690322422,0.672257987,0.651612848,0.667096702,0.669677406,0.661935417
2/20/2017,0.65548378,0.690322422,0.672257987,0.651612848,0.667096702,0.669677406
2/27/2017,0.645161211,0.65548378,0.690322422,0.672257987,0.651612848,0.667096702
3/6/2017,0.634838641,0.645161211,0.65548378,0.690322422,0.672257987,0.651612848
3/13/2017,0.543225745,0.634838641,0.645161211,0.65548378,0.690322422,0.672257987
3/20/2017,0.553548314,0.543225745,0.634838641,0.645161211,0.65548378,0.690322422
3/27/2017,0.543225745,0.553548314,0.543225745,0.634838641,0.645161211,0.65548378
4/3/2017,0.581935442,0.543225745,0.553548314,0.543225745,0.634838641,0.645161211
4/10/2017,0.607741866,0.581935442,0.543225745,0.553548314,0.543225745,0.634838641
4/17/2017,0.633548289,0.607741866,0.581935442,0.543225745,0.553548314,0.543225745
4/24/2017,0.552257962,0.633548289,0.607741866,0.581935442,0.543225745,0.553548314
5/1/2017,0.529032242,0.552257962,0.633548289,0.607741866,0.581935442,0.543225745
5/8/2017,0.48516126,0.529032242,0.552257962,0.633548289,0.607741866,0.581935442
5/15/2017,0.505806399,0.48516126,0.529032242,0.552257962,0.633548289,0.607741866
5/22/2017,0.563870884,0.505806399,0.48516126,0.529032242,0.552257962,0.633548289
5/29/2017,0.53806446,0.563870884,0.505806399,0.48516126,0.529032242,0.552257962
6/5/2017,0.479999975,0.53806446,0.563870884,0.505806399,0.48516126,0.529032242
6/12/2017,0.467096702,0.479999975,0.53806446,0.563870884,0.505806399,0.48516126
6/19/2017,0.441290278,0.467096702,0.479999975,0.53806446,0.563870884,0.505806399
6/26/2017,0.402580581,0.441290278,0.467096702,0.479999975,0.53806446,0.563870884
7/3/2017,0.483870908,0.402580581,0.441290278,0.467096702,0.479999975,0.53806446
7/10/2017,0.458064484,0.483870908,0.402580581,0.441290278,0.467096702,0.479999975
7/17/2017,0.494193478,0.458064484,0.483870908,0.402580581,0.441290278,0.467096702
7/24/2017,0.483870908,0.494193478,0.458064484,0.483870908,0.402580581,0.441290278
7/31/2017,0.548387029,0.483870908,0.494193478,0.458064484,0.483870908,0.402580581
8/7/2017,0.531612823,0.548387029,0.483870908,0.494193478,0.458064484,0.483870908
8/14/2017,0.526451538,0.531612823,0.548387029,0.483870908,0.494193478,0.458064484
8/21/2017,0.534193527,0.526451538,0.531612823,0.548387029,0.483870908,0.494193478
8/28/2017,0.52774189,0.534193527,0.526451538,0.531612823,0.548387029,0.483870908
9/4/2017,0.57032252,0.52774189,0.534193527,0.526451538,0.531612823,0.548387029
9/11/2017,0.57032252,0.57032252,0.52774189,0.534193527,0.526451538,0.531612823
9/18/2017,0.598709648,0.57032252,0.57032252,0.52774189,0.534193527,0.526451538
9/25/2017,0.609032218,0.598709648,0.57032252,0.57032252,0.52774189,0.534193527
10/2/2017,0.606451514,0.609032218,0.598709648,0.57032252,0.57032252,0.52774189
10/9/2017,0.584516023,0.606451514,0.609032218,0.598709648,0.57032252,0.57032252
10/16/2017,0.629677357,0.584516023,0.606451514,0.609032218,0.598709648,0.57032252
10/23/2017,0.632258061,0.629677357,0.584516023,0.606451514,0.609032218,0.598709648
10/30/2017,0.674838691,0.632258061,0.629677357,0.584516023,0.606451514,0.609032218
11/6/2017,0.712257913,0.674838691,0.632258061,0.629677357,0.584516023,0.606451514
11/13/2017,0.735483756,0.712257913,0.674838691,0.632258061,0.629677357,0.584516023
11/20/2017,0.725161186,0.735483756,0.712257913,0.674838691,0.632258061,0.629677357
11/27/2017,0.740645164,0.725161186,0.735483756,0.712257913,0.674838691,0.632258061
12/4/2017,0.722580482,0.740645164,0.725161186,0.735483756,0.712257913,0.674838691
12/11/2017,0.678709623,0.722580482,0.740645164,0.725161186,0.735483756,0.712257913
12/18/2017,0.663225769,0.678709623,0.722580482,0.740645164,0.725161186,0.735483756
12/25/2017,0.709677455,0.663225769,0.678709623,0.722580482,0.740645164,0.725161186
1/1/2018,0.762580655,0.709677455,0.663225769,0.678709623,0.722580482,0.740645164
1/8/2018,0.775483682,0.762580655,0.709677455,0.663225769,0.678709623,0.722580482
1/15/2018,0.809032095,0.775483682,0.762580655,0.709677455,0.663225769,0.678709623
1/22/2018,0.797419173,0.809032095,0.775483682,0.762580655,0.709677455,0.663225769
1/29/2018,0.845161211,0.797419173,0.809032095,0.775483682,0.762580655,0.709677455
2/5/2018,0.811612798,0.845161211,0.797419173,0.809032095,0.775483682,0.762580655
2/12/2018,0.700644991,0.811612798,0.845161211,0.797419173,0.809032095,0.775483682
2/19/2018,0.757419247,0.700644991,0.811612798,0.845161211,0.797419173,0.809032095
2/26/2018,0.794838715,0.757419247,0.700644991,0.811612798,0.845161211,0.797419173
3/5/2018,0.765161112,0.794838715,0.757419247,0.700644991,0.811612798,0.845161211
3/12/2018,0.77032252,0.765161112,0.794838715,0.757419247,0.700644991,0.811612798
3/19/2018,0.766451464,0.77032252,0.765161112,0.794838715,0.757419247,0.700644991
3/26/2018,0.807741743,0.766451464,0.77032252,0.765161112,0.794838715,0.757419247
4/2/2018,0.810322446,0.807741743,0.766451464,0.77032252,0.765161112,0.794838715
4/9/2018,0.778064386,0.810322446,0.807741743,0.766451464,0.77032252,0.765161112
4/16/2018,0.851612725,0.778064386,0.810322446,0.807741743,0.766451464,0.77032252
4/23/2018,0.873548216,0.851612725,0.778064386,0.810322446,0.807741743,0.766451464
4/30/2018,0.874838568,0.873548216,0.851612725,0.778064386,0.810322446,0.807741743
5/7/2018,0.901935466,0.874838568,0.873548216,0.851612725,0.778064386,0.810322446
5/14/2018,0.925161309,0.901935466,0.874838568,0.873548216,0.851612725,0.778064386
5/21/2018,0.96129018,0.925161309,0.901935466,0.874838568,0.873548216,0.851612725
5/28/2018,0.944516096,0.96129018,0.925161309,0.901935466,0.874838568,0.873548216
6/4/2018,0.930322471,0.944516096,0.96129018,0.925161309,0.901935466,0.874838568
6/11/2018,0.922580605,0.930322471,0.944516096,0.96129018,0.925161309,0.901935466
6/18/2018,0.847741915,0.922580605,0.930322471,0.944516096,0.96129018,0.925161309
6/25/2018,0.868387054,0.847741915,0.922580605,0.930322471,0.944516096,0.96129018
7/2/2018,0.900645114,0.868387054,0.847741915,0.922580605,0.930322471,0.944516096
7/9/2018,0.873548216,0.900645114,0.868387054,0.847741915,0.922580605,0.930322471
7/16/2018,0.816774206,0.873548216,0.900645114,0.868387054,0.847741915,0.922580605
7/23/2018,0.805161285,0.816774206,0.873548216,0.900645114,0.868387054,0.847741915
7/30/2018,0.845161211,0.805161285,0.816774206,0.873548216,0.900645114,0.868387054
8/6/2018,0.833548289,0.845161211,0.805161285,0.816774206,0.873548216,0.900645114
8/13/2018,0.818064558,0.833548289,0.845161211,0.805161285,0.816774206,0.873548216
8/20/2018,0.788386955,0.818064558,0.833548289,0.845161211,0.805161285,0.816774206
8/27/2018,0.839999803,0.788386955,0.818064558,0.833548289,0.845161211,0.805161285
9/3/2018,0.861935294,0.839999803,0.788386955,0.818064558,0.833548289,0.845161211
9/10/2018,0.832257937,0.861935294,0.839999803,0.788386955,0.818064558,0.833548289
9/17/2018,0.838709697,0.832257937,0.861935294,0.839999803,0.788386955,0.818064558
9/24/2018,0.87612892,0.838709697,0.832257937,0.861935294,0.839999803,0.788386955
10/1/2018,0.938064337,0.87612892,0.838709697,0.832257937,0.861935294,0.839999803
10/8/2018,0.980644967,0.938064337,0.87612892,0.838709697,0.832257937,0.861935294
10/15/2018,0.927741767,0.980644967,0.938064337,0.87612892,0.838709697,0.832257937
10/22/2018,0.909677332,0.927741767,0.980644967,0.938064337,0.87612892,0.838709697
10/29/2018,0.872257864,0.909677332,0.927741767,0.980644967,0.938064337,0.87612892
11/5/2018,0.787096604,0.872257864,0.909677332,0.927741767,0.980644967,0.938064337
11/12/2018,0.735483756,0.787096604,0.872257864,0.909677332,0.927741767,0.980644967
11/19/2018,0.699354886,0.735483756,0.787096604,0.872257864,0.909677332,0.927741767
11/26/2018,0.593548363,0.699354886,0.735483756,0.787096604,0.872257864,0.909677332
12/3/2018,0.592258011,0.593548363,0.699354886,0.735483756,0.787096604,0.872257864
12/10/2018,0.645161211,0.592258011,0.593548363,0.699354886,0.735483756,0.787096604
12/17/2018,0.61290315,0.645161211,0.592258011,0.593548363,0.699354886,0.735483756
12/24/2018,0.521290254,0.61290315,0.645161211,0.592258011,0.593548363,0.699354886
12/31/2018,0.483870908,0.521290254,0.61290315,0.645161211,0.592258011,0.593548363
1/7/2019,0.535483879,0.483870908,0.521290254,0.61290315,0.645161211,0.592258011
1/14/2019,0.596128944,0.535483879,0.483870908,0.521290254,0.61290315,0.645161211
1/21/2019,0.627096776,0.596128944,0.535483879,0.483870908,0.521290254,0.61290315
1/28/2019,0.625806424,0.627096776,0.596128944,0.535483879,0.483870908,0.521290254
2/4/2019,0.639999926,0.625806424,0.627096776,0.596128944,0.535483879,0.483870908
2/11/2019,0.618064435,0.639999926,0.625806424,0.627096776,0.596128944,0.535483879
2/18/2019,0.672257987,0.618064435,0.639999926,0.625806424,0.627096776,0.596128944
2/25/2019,0.69548383,0.672257987,0.618064435,0.639999926,0.625806424,0.627096776
3/4/2019,0.65548378,0.69548383,0.672257987,0.618064435,0.639999926,0.625806424
3/11/2019,0.654193552,0.65548378,0.69548383,0.672257987,0.618064435,0.639999926
3/18/2019,0.673548339,0.654193552,0.65548378,0.69548383,0.672257987,0.618064435
3/25/2019,0.67612892,0.673548339,0.654193552,0.65548378,0.69548383,0.672257987
4/1/2019,0.670967635,0.67612892,0.673548339,0.654193552,0.65548378,0.69548383
4/8/2019,0.705806399,0.670967635,0.67612892,0.673548339,0.654193552,0.65548378
4/15/2019,0.723870834,0.705806399,0.670967635,0.67612892,0.673548339,0.654193552
4/22/2019,0.710967561,0.723870834,0.705806399,0.670967635,0.67612892,0.673548339
4/29/2019,0.687741964,0.710967561,0.723870834,0.705806399,0.670967635,0.67612892
5/6/2019,0.667096702,0.687741964,0.710967561,0.723870834,0.705806399,0.670967635
5/13/2019,0.643870859,0.667096702,0.687741964,0.710967561,0.723870834,0.705806399
5/20/2019,0.670967635,0.643870859,0.667096702,0.687741964,0.710967561,0.723870834
5/27/2019,0.636128993,0.670967635,0.643870859,0.667096702,0.687741964,0.710967561
6/3/2019,0.571612872,0.636128993,0.670967635,0.643870859,0.667096702,0.687741964
6/10/2019,0.576774157,0.571612872,0.636128993,0.670967635,0.643870859,0.667096702
6/17/2019,0.58967743,0.576774157,0.571612872,0.636128993,0.670967635,0.643870859
6/24/2019,0.645161211,0.58967743,0.576774157,0.571612872,0.636128993,0.670967635
7/1/2019,0.649032144,0.645161211,0.58967743,0.576774157,0.571612872,0.636128993
7/8/2019,0.637419345,0.649032144,0.645161211,0.58967743,0.576774157,0.571612872
7/15/2019,0.691612774,0.637419345,0.649032144,0.645161211,0.58967743,0.576774157
7/22/2019,0.627096776,0.691612774,0.637419345,0.649032144,0.645161211,0.58967743
7/29/2019,0.619354787,0.627096776,0.691612774,0.637419345,0.649032144,0.645161211
8/5/2019,0.572903224,0.619354787,0.627096776,0.691612774,0.637419345,0.649032144
8/12/2019,0.548387029,0.572903224,0.619354787,0.627096776,0.691612774,0.637419345
8/19/2019,0.532903175,0.548387029,0.572903224,0.619354787,0.627096776,0.691612774
8/26/2019,0.530322594,0.532903175,0.548387029,0.572903224,0.619354787,0.627096776
9/2/2019,0.532903175,0.530322594,0.532903175,0.548387029,0.572903224,0.619354787
9/9/2019,0.57032252,0.532903175,0.530322594,0.532903175,0.548387029,0.572903224
9/16/2019,0.569032168,0.57032252,0.532903175,0.530322594,0.532903175,0.548387029
9/23/2019,0.616774083,0.569032168,0.57032252,0.532903175,0.530322594,0.532903175
9/30/2019,0.579354738,0.616774083,0.569032168,0.57032252,0.532903175,0.530322594
10/7/2019,0.554838666,0.579354738,0.616774083,0.569032168,0.57032252,0.532903175
10/14/2019,0.592258011,0.554838666,0.579354738,0.616774083,0.569032168,0.57032252
10/21/2019,0.587096727,0.592258011,0.554838666,0.579354738,0.616774083,0.569032168
10/28/2019,0.633548289,0.587096727,0.592258011,0.554838666,0.579354738,0.616774083
11/4/2019,0.633548289,0.633548289,0.587096727,0.592258011,0.554838666,0.579354738
11/11/2019,0.633548289,0.633548289,0.633548289,0.587096727,0.592258011,0.554838666
11/18/2019,0.629677357,0.633548289,0.633548289,0.633548289,0.587096727,0.592258011
11/25/2019,0.633548289,0.629677357,0.633548289,0.633548289,0.633548289,0.587096727
12/2/2019,0.594838715,0.633548289,0.629677357,0.633548289,0.633548289,0.633548289
12/9/2019,0.641290278,0.594838715,0.633548289,0.629677357,0.633548289,0.633548289
12/16/2019,0.667096702,0.641290278,0.594838715,0.633548289,0.629677357,0.633548289
12/23/2019,0.698064534,0.667096702,0.641290278,0.594838715,0.633548289,0.629677357
12/30/2019,0.694193478,0.698064534,0.667096702,0.641290278,0.594838715,0.633548289
1/6/2020,0.704516047,0.694193478,0.698064534,0.667096702,0.641290278,0.594838715
1/13/2020,0.667096702,0.704516047,0.694193478,0.698064534,0.667096702,0.641290278
1/20/2020,0.654193552,0.667096702,0.704516047,0.694193478,0.698064534,0.667096702
1/27/2020,0.569032168,0.654193552,0.667096702,0.704516047,0.694193478,0.698064534
2/3/2020,0.500645114,0.569032168,0.654193552,0.667096702,0.704516047,0.694193478
2/10/2020,0.494193478,0.500645114,0.569032168,0.654193552,0.667096702,0.704516047
2/17/2020,0.509677332,0.494193478,0.500645114,0.569032168,0.654193552,0.667096702
2/24/2020,0.526451538,0.509677332,0.494193478,0.500645114,0.569032168,0.654193552
3/2/2020,0.375483805,0.526451538,0.509677332,0.494193478,0.500645114,0.569032168
3/9/2020,0.343225745,0.375483805,0.526451538,0.509677332,0.494193478,0.500645114
3/16/2020,0.181935442,0.343225745,0.375483805,0.526451538,0.509677332,0.494193478
3/23/2020,0.030967709,0.181935442,0.343225745,0.375483805,0.526451538,0.509677332
3/30/2020,0.092903249,0.030967709,0.181935442,0.343225745,0.375483805,0.526451538
4/6/2020,0.092903249,0.092903249,0.030967709,0.181935442,0.343225745,0.375483805
4/13/2020,0.110967807,0.092903249,0.092903249,0.030967709,0.181935442,0.343225745
4/20/2020,0.09548383,0.110967807,0.092903249,0.092903249,0.030967709,0.181935442
4/27/2020,0,0.09548383,0.110967807,0.092903249,0.092903249,0.030967709
5/4/2020,0.007741989,0,0.09548383,0.110967807,0.092903249,0.092903249
5/11/2020,0.070967758,0.007741989,0,0.09548383,0.110967807,0.092903249
5/18/2020,0.064516121,0.070967758,0.007741989,0,0.09548383,0.110967807
5/25/2020,0.109677455,0.064516121,0.070967758,0.007741989,0,0.09548383
6/1/2020,0.139354812,0.109677455,0.064516121,0.070967758,0.007741989,0
6/8/2020,0.209032218,0.139354812,0.109677455,0.064516121,0.070967758,0.007741989
6/15/2020,0.169032291,0.209032218,0.139354812,0.109677455,0.064516121,0.070967758
6/22/2020,0.21032257,0.169032291,0.209032218,0.139354812,0.109677455,0.064516121
6/29/2020,0.174193576,0.21032257,0.169032291,0.209032218,0.139354812,0.109677455
7/6/2020,0.227096776,0.174193576,0.21032257,0.169032291,0.209032218,0.139354812
7/13/2020,0.2529032,0.227096776,0.174193576,0.21032257,0.169032291,0.209032218
7/20/2020,0.2529032,0.2529032,0.227096776,0.174193576,0.21032257,0.169032291
7/27/2020,0.283870908,0.2529032,0.2529032,0.227096776,0.174193576,0.21032257
