Date,y_true,Arima,LSTM,ANN,SVR,RF,Arima + LSTM,Arima + ANN,Arima + SVR,Arima + RF
2018-01-01,140.3699951171875,137.25,136.34440797294857,134.41242686141211,136.5432628779309,130.89435162353513,140.35915207862854,138.56470096111298,138.8325225971492,139.0507128238678
2018-01-08,142.75,137.25,136.44476304514305,134.62113073622547,137.8749425147707,130.89435162353513,139.91449069976807,140.81870985031128,138.8674352461806,139.0507128238678
2018-01-15,143.9199981689453,137.25,136.6250001837542,135.07969511593475,139.4431998775247,130.89435162353513,139.88342332839966,141.99036264419556,138.56092892771446,139.0507128238678
2018-01-22,146.86000061035156,137.25,136.8311968641824,135.09108886588103,140.66654804223356,130.89435162353513,140.3114562034607,141.21973943710327,138.56716212627455,139.0507128238678
2018-01-29,141.3000030517578,137.25,136.35168847411023,135.41280889654712,142.22443581716325,132.6233085021973,141.5730848312378,139.92901277542114,138.59400183542132,139.0507128238678
2018-02-05,134.22999572753906,141.3000030517578,136.34825439288264,135.24883924928125,141.28697519840193,132.6233085021973,144.295147895813,139.36778473854065,142.64400525533793,143.1716010570526
2018-02-12,140.11000061035156,141.3000030517578,136.02586844493047,134.00148553575076,138.08129513436927,132.6233085021973,134.52973461151123,139.98607301712036,142.622110442178,143.1716010570526
2018-02-19,140.86000061035156,141.3000030517578,135.80923298224783,135.07287438701832,138.51823382380604,132.6233085021973,135.5462532043457,142.85002446174622,142.57000386755834,143.1716010570526
2018-02-26,138.24000549316406,141.3000030517578,135.7334412380002,134.86986136985325,138.86298230258194,132.6233085021973,138.18084263801575,139.96287441253662,142.53685584208017,143.1716010570526
2018-03-05,143.3000030517578,141.3000030517578,137.15172524571162,138.63153145268302,138.5487580729566,137.17674308776856,142.8749098777771,143.65533661842346,142.61819449730652,142.58297300338745
2018-03-12,141.66000366210938,143.3000030517578,137.43961662962036,140.47553698919148,139.73680714522231,137.17674308776856,142.56107199192047,142.47906750440598,144.80326689018324,144.98816514015198
2018-03-19,133.10000610351562,143.3000030517578,137.59526904535173,140.69979128472448,140.5960494622034,137.17674308776856,136.2970108985901,132.98119926452637,143.8347616519622,144.09577476978302
2018-03-26,135.72000122070312,143.3000030517578,137.2480327856029,137.30146993697502,138.24455714401705,135.85013172912596,139.82170629501343,134.86325931549072,141.72860159510597,144.0891756415367
