,0
2018-01-08,3.765234218420089
2018-01-15,3.0992189067806795
2018-01-22,1.033811078330875
2018-01-29,12.162978008526814
2018-02-05,13.885941796559436
2018-02-12,-5.721347498835205
2018-02-19,-3.317945512849447
2018-02-26,3.6087126645398873
2018-03-05,-4.573070822015499
2018-03-12,1.4281167427974686
2018-03-19,12.006477586441129
2018-03-26,-4.002514053328426
2018-04-02,0.9642099565241533
2018-04-09,-0.04745196182914002
2018-04-23,-0.6421350872624708
2018-04-30,-0.38767323901937834
2018-05-07,1.4901596092427207
2018-05-14,0.12030926323646046
2018-05-21,0.1780711778968962
2018-05-28,0.7110949999168685
2018-06-04,1.0259631488390561
2018-06-11,0.05751797775724979
2018-06-18,-0.20567401907416083
2018-06-25,-0.31482055941455367
2018-07-02,0.5580504385074043
2018-07-09,0.7192796559505749
2018-07-16,0.42809837079692686
2018-07-23,-0.5737932956845335
2018-08-06,5.1598851684892635
2018-08-13,-1.2920807206614537
2018-08-20,-1.364982970993342
2018-08-27,3.4554003579476915
2018-09-03,5.643337362215572
2018-09-10,-6.875488449544034
2018-09-17,-0.8810205955238617
2018-09-24,1.0822871346776974
2018-10-01,8.217154609234804
2018-10-08,14.990194877820839
2018-10-15,-2.700324454988569
2018-10-22,6.289217846130271
2018-10-29,-6.307863701520603
2018-11-05,0.06688589646874021
2018-11-19,2.312580653665203
2018-11-26,-1.455148899179083
2018-12-03,4.8235298369388495
2018-12-10,-2.451568153037411
2018-12-17,5.440457717856896
2018-12-24,-0.2556582383120092
2018-12-31,-4.6580177858198235
2019-01-07,-1.8211992966458994
2019-01-14,1.0502317633670821
2019-01-21,-0.5373824280154755
2019-01-28,-0.8219876406060124
2019-02-04,-0.5581029924580108
2019-02-11,0.34747366037021354
2019-02-18,9.728202089974047
2019-03-04,4.904116884244842
2019-03-11,-5.058827271692686
2019-03-18,9.01370294687194
2019-03-25,-5.323021011250201
2019-04-01,-0.8657067697130594
2019-04-08,-1.7395535249942506
2019-04-15,0.01625375568570414
2019-04-22,2.435292730351572
2019-04-29,0.46396071619351387
2019-05-06,7.163169571972731
2019-05-13,-0.5459363982766711
2019-05-20,-1.0333001487819682
2019-05-27,4.362678614870979
2019-06-03,5.144155385880937
2019-06-17,1.670496480445415
2019-06-24,-0.02964680596499422
2019-07-01,0.39535905873424065
2019-07-08,0.8251723437439911
2019-07-15,-1.087280543743987
2019-07-22,0.5724602298833342
2019-07-29,-1.5137884823054955
2019-08-05,-0.24701002616215664
2019-08-12,-0.2600737310618634
2019-08-19,-0.5212036681556957
2019-08-26,1.1245219598521394
2019-09-02,1.005181487813901
2019-09-09,-0.19779268669982203
2019-09-16,0.6476280679843253
2019-09-30,-0.4695044345014934
2019-10-07,0.40218874015870365
2019-10-14,0.2095266058073198
2019-10-21,0.908343032981409
2019-10-28,1.1918015214859388
2019-11-04,0.608231587050498
2019-11-11,0.7161486428362707
2019-11-18,-0.09838645877707962
2019-11-25,0.8317404246288398
2019-12-02,0.6577193303812917
2019-12-09,0.4476758803215295
2019-12-16,1.5836861820245902
2019-12-23,0.1742678671282835
2019-12-30,1.5877432582733044
2020-01-13,-2.351582109496561
2020-01-20,13.982138793589884
2020-01-27,20.36557932369345
2020-02-03,-12.332385996441612
2020-02-10,-7.913600403249834
2020-02-17,17.760732531124678
2020-02-24,93.99913017625929
2020-03-02,3.0998958548331825
2020-03-09,24.51171215604068
2020-03-16,6.515750799468048
2020-03-23,1.7001413099895455
2020-03-30,-21.018566686321407
2020-04-06,-5.49259913743184
2020-04-13,-1.7529032358749488
2020-04-27,0.6681186037966342
2020-05-04,2.9665651414748746
2020-05-11,0.28380828788087975
2020-05-18,2.3120957664621438
2020-05-25,1.71981124166821
2020-06-01,3.653978567297204
2020-06-08,-0.010187781284917818
2020-06-15,2.318608408594584
2020-06-22,-2.1281398863757564
2020-06-29,2.1445887589810964
2020-07-06,1.411929261997346
2020-07-13,-0.2727682110480426
2020-07-20,1.7791149724306103
2020-07-27,-6.375427828838581
2020-08-10,0.49176630941096483
2020-08-17,0.918068814058895
2020-08-24,2.926247224512946
2020-08-31,2.5915786905077076
2020-09-07,-3.8581620801892584
2020-09-14,-0.34420421409520147
2020-09-21,-0.907320132143462
2020-09-28,2.2420922074577416
2020-10-05,2.2265601308612366
2020-10-12,1.4080013029121314
2020-10-19,-0.25829636542269085
2020-10-26,0.4834994790727185
2020-11-02,1.3805823232507226
2020-11-09,0.7591017744060662
