Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
7/9/2018,144.6999969,142.4499969,141.5835537,143.4496814,142.2404634,144.3511728,142.3286466,143.4810998,1.910003662,0,0.232570311,1.612302045,0.530749159,2.192431629,0.769429892,0.672663468
7/16/2018,144.8399963,142.4499969,143.0697345,144.5865122,143.1584555,144.9115434,144.1310236,144.1350435,0.13999939,0,1.48618073,1.136830767,0.917992119,0.560370564,1.802377015,0.653943784
7/23/2018,145.2200012,142.4499969,143.3522542,144.7796945,143.1115369,145.5972819,146.9074168,144.9810091,0.380004883,0,0.2825197,0.193182328,-0.046918623,0.685738564,2.776393175,0.845965566
7/30/2018,146.2700043,145.2200012,143.8028338,145.5518029,142.9002861,145.3985948,149.1204789,147.6086789,1.050003052,2.770004272,0.450579621,0.77210836,-0.211250772,-0.198687181,2.213062048,2.627669774
8/6/2018,146.25,145.2200012,144.1628008,146.7414477,142.821348,146.3003994,147.2507591,146.8834886,-0.020004272,0,0.359967023,1.18964481,-0.078938118,0.901804671,-1.869719744,-0.72519034
8/13/2018,147.1699982,145.2200012,144.3311797,146.6228707,142.7909056,145.7934,147.7867422,147.1575579,0.919998169,0,0.1683789,-0.118577007,-0.03044238,-0.506999373,0.535983086,0.274069323
8/20/2018,148.6799927,145.2200012,144.8191016,147.6681731,143.2771735,147.5680642,149.10619,147.1321447,1.509994507,0,0.487921947,1.045302432,0.486267901,1.774664164,1.319447756,-0.025413188
8/27/2018,150.0700073,145.2200012,146.4993686,149.7757673,143.2439273,149.743381,151.1069293,148.0735797,1.390014648,0,1.680267003,2.107594113,-0.03324619,2.175316811,2.000739336,0.941435003
9/3/2018,148.5800018,150.0700073,147.5439331,150.9709592,143.7062242,149.001497,152.337235,152.436443,-1.490005493,4.850006104,1.044564419,1.195191982,0.462296803,-0.741883993,1.230305672,4.362863338
9/10/2018,150.2799988,150.0700073,147.3821765,149.6186581,142.8571204,150.6671338,149.045966,150.8054939,1.699996948,0,-0.161756585,-1.352301135,-0.849103785,1.665636778,-3.291268945,-1.630949117
9/17/2018,151.1600037,150.0700073,147.8067235,151.8242467,143.1975218,151.4431419,150.0025915,151.4868486,0.880004883,0,0.424547044,2.205588629,0.340401466,0.776008129,0.956625462,0.681354693
9/24/2018,149.6499939,150.0700073,148.4173427,152.4011692,142.6121269,150.1075358,150.1318517,150.6883981,-1.510009766,0,0.610619165,0.576922427,-0.585394971,-1.335606098,0.129260257,-0.798450522
10/1/2018,147.6300049,150.0700073,148.5960005,149.8899562,144.0846274,149.6910481,148.3913242,151.0335574,-2.019989014,0,0.178657804,-2.511212957,1.472500565,-0.416487783,-1.740527585,0.34515936
10/8/2018,141.3699951,147.6300049,147.4569809,148.38363,142.9187683,142.0979762,143.5356717,147.1314914,-6.260009766,-2.440002441,-1.139019547,-1.506326225,-1.165859142,-7.593071848,-4.855652452,-3.902066019
10/15/2018,141.3500061,147.6300049,143.7710891,142.816716,140.3739057,140.8040013,141.8582425,144.4180179,-0.019989014,0,-3.685891808,-5.566913945,-2.544862549,-1.293974876,-1.677429199,-2.713473473
10/22/2018,135.7700043,147.6300049,141.7761657,142.107982,141.0403411,139.611166,137.4878731,140.4475762,-5.580001831,0,-1.994923448,-0.708733992,0.6664354,-1.192835331,-4.370369434,-3.970441704
10/29/2018,139.5599976,147.6300049,138.4566376,135.5577367,137.858273,143.1589231,145.6449462,140.172806,3.789993286,0,-3.319528089,-6.550245361,-3.182068113,3.547757149,8.15707314,-0.274770243
11/5/2018,142.1699982,147.6300049,138.9744767,140.7113739,140.5040334,149.3464077,146.9272548,144.7689961,2.61000061,0,0.517839066,5.153637227,2.645760408,6.187484503,1.282308578,4.596190102
11/12/2018,140.0800018,142.1699982,141.3051644,141.6399953,140.754996,143.364691,142.3021951,138.5079048,-2.089996338,-5.460006714,2.330687745,0.928621399,0.250962587,-5.981716633,-4.625059724,-6.261091326
11/19/2018,135.1300049,142.1699982,141.4627307,141.199169,140.6934128,147.6593823,138.9091327,141.7551834,-4.949996948,0,0.15756629,-0.440826292,-0.061583204,4.294691324,-3.393062353,3.247278664
