date,AGG,DBC,VIX,VTI
4/1/2018,113.1399994,15.18999958,17.21999931,150.3000031
4/2/2018,113.8199997,15,17.04000092,149.7299957
4/3/2018,112.7300034,15.28999996,15.57999992,150.6300049
4/4/2018,112.8000031,15.25,14.25,151.5800018
4/5/2018,112.6200027,15.60999966,12.64999962,153.4499969
4/6/2018,112.9300003,15.60999966,12.30000019,155.8300018
4/7/2018,111.8099976,15.60999966,12.06999969,157.1600037
4/8/2018,112.4100037,15.57999992,12.05000019,158.5500031
4/9/2018,112.8700027,15.60999966,12.34000015,158.1399994
4/10/2018,112.8600006,15.31000042,12.61999989,160.0200043
4/11/2018,112.5199966,15.67000008,13.61999989,160.2899933
4/12/2018,112.8099976,15.86999989,12.63000011,161.3300018
4/13/2018,112.3199997,16.11000061,12.51000023,164.1900024
4/14/2018,112.6299973,16.07999992,13.43000031,164.0800018
4/15/2018,113.0100021,16.15999985,14.02000046,163.9299927
4/16/2018,112.9800034,15.86999989,12.56000042,165.4600067
4/17/2018,113.0500031,15.77000046,12.10000038,168.7599945
4/18/2018,113.7900009,15.10999966,14.56000042,167.0899963
4/19/2018,114.6500015,14.57999992,18.84000015,163.5200043
4/20/2018,114.2200012,14.52999973,15.47000027,168.7100067
4/21/2018,114.2900009,14.64999962,13.68000031,171.6999969
4/22/2018,114.9000015,14.77999973,17.07999992,169.8899994
4/23/2018,116.2200012,13.60999966,40.11000061,150.4400024
4/24/2018,117.8600006,13.35999966,41.93999863,150.5899963
4/25/2018,111.8600006,12.10999966,57.83000183,135.9299927
4/26/2018,110.0299988,10.93999958,66.04000092,115.1900024
4/27/2018,115.5699997,11.42000008,65.54000092,126.9300003
4/28/2018,114.9800034,11.42000008,46.79999924,123.3799973
4/29/2018,117.25,11.56000042,41.66999817,139.3600006
4/30/2018,117.25,11.43999958,38.15000153,143.1399994
5/1/2018,117.3600006,10.69999981,35.93000031,141.6300049
5/2/2018,116.8700027,10.76000023,37.18999863,141.8099976
5/3/2018,116.4599991,11.25,27.97999954,147.4700012
5/4/2018,117.0299988,11.19999981,31.88999939,143.8300018
5/5/2018,117.4400024,11.55000019,28.15999985,149.2599945
5/6/2018,117.6500015,11.77999973,27.51000023,153.7100067
5/7/2018,116.9000015,12.31999969,24.52000046,161.8999939
5/8/2018,117.5800018,12.01000023,36.09000015,153.9700012
5/9/2018,117.8000031,12.32999992,35.11999893,157.0800018
5/10/2018,118.0100021,12.05000019,34.72999954,152.0200043
5/11/2018,118.1900024,12.46000004,27.68000031,158.0700073
5/12/2018,118.4899979,12.65999985,27.29000092,160.9499969
5/13/2018,118.8799973,12.65999985,25.68000031,163.1900024
5/14/2018,119.2799988,12.89999962,25.84000015,162.6900024
5/15/2018,119.5599976,12.93999958,24.45999908,165.5200043
5/16/2018,119.4300003,13.17000008,22.20999908,169.8000031
5/17/2018,118.1999969,13.23999977,22.04999924,170.9799957
5/18/2018,118.6800003,13.30000019,22.54000092,172.2200012
5/19/2018,118.1100006,13.55000019,22.95999908,177.6799927
5/20/2018,118.0999985,13.14000034,30.75,173.4499969
5/21/2018,118.3700027,12.89999962,26.87000084,169.1199951
5/22/2018,118.2200012,13.43000031,25.82999992,169.0899963
5/23/2018,118.1299973,12.94999981,26.37999916,166.9600067
5/24/2018,117.9000015,12.73999977,27.62999916,170.3899994
5/25/2018,117.7200012,13.34000015,25,177.3200073
5/26/2018,117.8899994,13.27000046,27.40999985,177.5500031
5/27/2018,117.4700012,13.26000023,27.54999924,176.8399963
5/28/2018,117.1999969,12.64999962,38.02000046,166.9900055
5/29/2018,117.8000031,13.10999966,24.86000061,179.2599945
5/30/2018,117.6399994,13.35000038,23.10000038,183.3200073
5/31/2018,118.2900009,13.60000038,23.70000076,183.2299957
6/1/2018,118.2600021,14.02000046,20.84000015,188.1799927
6/2/2018,117.5899963,14.03999996,20.79000092,191.5099945
6/3/2018,118.0299988,14.23999977,23.30999947,190.1799927
6/4/2018,117.7900009,14.68999958,21.56999969,193.4700012
6/5/2018,117.9899979,14.60000038,21.53000069,192.8200073
6/6/2018,118.1900024,14.69999981,22.75,194.6399994
6/7/2018,117.0800018,15.23999977,21.55999947,199.25
6/8/2018,117.25,15.30000019,24.34000015,197.0599976
6/9/2018,117.25,15.09000015,21.90999985,200.8899994
6/10/2018,117.3099976,15.18999958,33.09000015,193.9900055
6/11/2018,116.7099991,15.86999989,20.87000084,204.1100006
6/12/2018,116.5800018,16.31999969,19.96999931,207.4900055
6/13/2018,115.8399963,16.52000046,22.04999924,205.9700012
6/14/2018,115.3399963,16.72999954,27.95000076,200.0800018
