,Date,y_true,y_pred
0,2016-12-12,113.8489656663856,112.66668173332802
1,2016-12-19,113.84896568400299,112.66668173332802
2,2016-12-26,113.92912042906234,112.66668173332802
3,2017-01-02,113.72873261208845,112.66668173332802
4,2017-01-09,114.32989415256742,112.66668173332802
5,2017-01-16,114.30985499750064,114.32989415256742
6,2017-01-23,114.43008807031097,114.32989415256742
7,2017-01-30,114.39000974405297,114.32989415256742
8,2017-02-06,114.14954550827774,114.32989415256742
9,2017-02-13,114.47016448493191,114.32989415256742
10,2017-02-20,114.75070514189726,114.47016448493191
11,2017-02-27,114.20966109468706,114.47016448493191
12,2017-03-06,114.0493515965062,114.47016448493191
13,2017-03-13,113.88904210399872,114.47016448493191
14,2017-03-20,112.46629394352672,114.47016448493191
15,2017-03-27,112.62660341244481,112.46629394352672
16,2017-04-03,112.46629392471492,112.46629394352672
17,2017-04-10,113.06745546579111,112.46629394352672
18,2017-04-17,113.46822920004581,112.46629394352672
19,2017-04-24,113.86900293131451,112.46629394352672
20,2017-05-01,112.60656426932199,113.86900293131451
21,2017-05-08,112.24586885326309,113.86900293131451
22,2017-05-15,111.56455255936397,113.86900293131451
23,2017-05-22,111.88517152944894,113.86900293131451
24,2017-05-29,112.78691289390409,113.86900293131451
25,2017-06-05,112.38613918204437,112.78691289390409
26,2017-06-12,111.48439781639483,112.78691289390409
27,2017-06-19,111.28400998478955,112.78691289390409
28,2017-06-26,110.88323625650683,112.78691289390409
29,2017-07-03,110.28207470706985,112.78691289390409
30,2017-07-10,111.54451336607637,110.28207470706985
31,2017-07-17,111.14373965959146,110.28207470706985
32,2017-07-24,111.70482286903486,110.28207470706985
33,2017-07-31,111.54451338727696,110.28207470706985
34,2017-08-07,112.54644865364986,110.28207470706985
35,2017-08-14,112.28594526937704,112.54644865364986
36,2017-08-21,112.2057905204359,112.54644865364986
37,2017-08-28,112.32602359235044,112.54644865364986
38,2017-09-04,112.2258296850579,112.54644865364986
39,2017-09-11,112.88710680806443,112.54644865364986
40,2017-09-18,112.88710681791822,112.88710680806443
41,2017-09-25,113.32795887126453,112.88710680806443
42,2017-10-02,113.48826836795243,112.88710680806443
43,2017-10-09,113.44819004229161,112.88710680806443
44,2017-10-16,113.10753189743224,112.88710680806443
45,2017-10-23,113.80888734490517,113.10753189743224
46,2017-10-30,113.84896568340578,113.10753189743224
47,2017-11-06,114.51024280850253,113.10753189743224
48,2017-11-13,115.09136328675665,113.10753189743224
49,2017-11-20,115.45206060370298,113.10753189743224
50,2017-11-27,115.29175111895911,115.45206060370298
51,2017-12-04,115.5322172627882,115.45206060370298
52,2017-12-11,115.25167279210393,115.45206060370298
53,2017-12-18,114.57035841043903,115.45206060370298
54,2017-12-25,114.32989416510863,115.45206060370298
55,2018-01-01,115.05128877809936,114.32989416510863
56,2018-01-08,115.87287540346719,114.32989416510863
57,2018-01-15,116.07325941179833,114.32989416510863
58,2018-01-22,116.59426621318994,114.32989416510863
59,2018-01-29,116.41391756681007,114.32989416510863
60,2018-02-05,117.1553513447214,116.41391756681007
61,2018-02-12,116.63434455736397,116.41391756681007
62,2018-02-19,114.91101466426474,116.41391756681007
63,2018-02-26,115.79271874527774,116.41391756681007
64,2018-03-05,116.3738430488962,116.41391756681007
65,2018-03-12,115.91294992914466,116.3738430488962
66,2018-03-19,115.99310657837601,116.3738430488962
67,2018-03-26,115.93298908749604,116.3738430488962
68,2018-04-02,116.57422704707496,116.3738430488962
69,2018-04-09,116.61430538467974,116.3738430488962
70,2018-04-16,116.11333775089611,116.61430538467974
71,2018-04-23,117.25554333828669,116.61430538467974
72,2018-04-30,117.59620149956903,116.61430538467974
73,2018-05-07,117.61624066867005,116.61430538467974
74,2018-05-14,118.03705546933001,116.61430538467974
75,2018-05-21,118.39775278388761,118.03705546933001
76,2018-05-28,118.95883409363795,118.03705546933001
77,2018-06-04,118.69833261383575,118.03705546933001
78,2018-06-11,118.47790562776089,118.03705546933001
79,2018-06-18,118.35767446240719,118.03705546933001
80,2018-06-25,117.19542970173524,118.35767446240719
81,2018-07-02,117.5160486646538,118.35767446240719
82,2018-07-09,118.01701630381224,118.35767446240719
83,2018-07-16,117.59620151091588,118.35767446240719
84,2018-07-23,116.71450122003236,118.35767446240719
85,2018-07-30,116.53415255275051,116.71450122003236
86,2018-08-06,117.15535134651303,116.71450122003236
87,2018-08-13,116.97500270162614,116.71450122003236
88,2018-08-20,116.73454037480057,116.71450122003236
89,2018-08-27,116.27364724280643,116.71450122003236
90,2018-09-03,117.075194686532,116.27364724280643
91,2018-09-10,117.41585284273816,116.27364724280643
92,2018-09-17,116.95496354148311,116.27364724280643
93,2018-09-24,117.05515935473933,116.27364724280643
94,2018-10-01,117.63627982463268,116.27364724280643
95,2018-10-08,118.59813677400415,117.63627982463268
96,2018-10-15,119.25941391283646,117.63627982463268
97,2018-10-22,118.43782730807204,117.63627982463268
98,2018-10-29,118.1572866436417,117.63627982463268
99,2018-11-05,117.57616234898126,117.63627982463268
100,2018-11-12,116.25360809132277,117.57616234898126
101,2018-11-19,115.45206062102177,117.57616234898126
102,2018-11-26,114.89097930470227,117.57616234898126
103,2018-12-03,113.24780415606521,117.57616234898126
104,2018-12-10,113.2277649675552,117.57616234898126
105,2018-12-17,114.0493515818748,113.2277649675552
106,2018-12-24,113.54838395973655,113.2277649675552
107,2018-12-31,112.12563579418836,113.2277649675552
108,2019-01-07,111.54451339354756,113.2277649675552
109,2019-01-14,112.34606274652144,113.2277649675552
110,2019-01-21,113.28788053515275,112.34606274652144
