Date,price,processed_price
2015-01-06,0.09046352652383838,0.09725264838087666
2015-01-07,0.10104049476839672,0.09806287843847716
2015-01-08,0.11686304040501849,0.0905211281438636
2015-01-09,0.10929571029795637,0.09876006215418542
2015-01-12,0.10284631701486724,0.11362905816009938
2015-01-13,0.10078252953413258,0.10896905540895141
2015-01-14,0.09588099326324961,0.10273868949923781
2015-01-15,0.08685188203089755,0.10012736951540258
2015-01-16,0.09854672149280774,0.09551353022025355
2015-01-20,0.09983661327074977,0.08703998931444956
2015-01-21,0.10387824355854502,0.09613213399185105
2015-01-22,0.11755099143413705,0.09844166740321769
2015-01-23,0.11342335086604671,0.10226644680202801
2015-01-26,0.11720701591957783,0.11468582546859885
2015-01-27,0.10654397178810315,0.11270556163969325
2015-01-28,0.09433313625104345,0.11574637138315935
2015-01-29,0.10284631701486724,0.10684581702847207
2015-01-30,0.09063548147780742,0.09503955622936311
2015-02-02,0.10061057458016354,0.10092336506294897
2015-02-03,0.11436926712942952,0.0910438365479389
2015-02-04,0.11118754282472187,0.09845334613112211
2015-02-05,0.12116263592707788,0.11141482809395542
2015-02-06,0.11841089741722477,0.11032993298838678
2015-02-09,0.11385333666090114,0.11888557946640932
2015-02-10,0.12314041312751745,0.11760139951409188
2015-02-11,0.12357039892237187,0.11346041975652721
2015-02-12,0.1324275552007549,0.12101792585855109
2015-02-13,0.13681316100310947,0.1223777312592157
2015-02-17,0.13827500773502055,0.13027727577371107
2015-02-18,0.13879093820354893,0.1351304618927628
2015-02-19,0.1385329729692848,0.13703748764994494
2015-02-20,0.143778484754727,0.13773584242638937
2015-02-23,0.1436924744744319,0.13760194023801742
2015-02-24,0.14584227223546153,0.14215791944282108
2015-02-25,0.14549836232752345,0.14267667495522252
2015-02-26,0.14489642157869997,0.1446186349062747
2015-02-27,0.14154267671340215,0.14457186921344822
2015-03-02,0.14730418457399386,0.1440409576182199
2015-03-03,0.14343450924016765,0.14104772229295914
2015-03-04,0.13965090979325778,0.14568095059890374
2015-03-05,0.14111275652516886,0.14291089110265398
2015-03-06,0.1281279596786955,0.1392510654761827
2015-03-09,0.13156764921766728,0.14004865592281868
2015-03-10,0.11746498115384196,0.12883148232770114
2015-03-11,0.1167770301247234,0.13036861311217474
2015-03-12,0.1282139699589906,0.11827317435127671
2015-03-13,0.12305446845384349,0.11609706171563983
2015-03-16,0.13457735296178464,0.1257850455672721
2015-03-17,0.13277153071531422,0.1225491665017372
2015-03-18,0.14343450924016765,0.1321739721467261
2015-03-19,0.14008082998149096,0.1318538480535172
2015-03-20,0.14790612532281733,0.14110891123172709
2015-03-23,0.14627225803031596,0.1393910638933593
2015-03-24,0.1412847114791379,0.14598986804053937
2015-03-25,0.12236651742472493,0.14542531165276795
2015-03-26,0.1205606951782544,0.14100322110892016
2015-03-27,0.12305446845384349,0.12393262703147556
2015-03-30,0.13474937352237482,0.12013349692176567
2015-03-31,0.12632213743222498,0.12181264365717603
2015-04-01,0.12460232546604966,0.13222796718755925
2015-04-02,0.12752601892987203,0.1262378212003673
2015-04-06,0.13388940193266607,0.12395771082049623
2015-04-07,0.13079368790825352,0.12620965629493586
2015-04-08,0.13474937352237482,0.13205120843282137
2015-04-09,0.13801704250075642,0.13011341786091757
2015-04-10,0.1424026483031109,0.13330974321251854
2015-04-13,0.13870499352987498,0.13657529400300916
2015-04-14,0.14008082998149096,0.14082456738002047
2015-04-15,0.14481041129840488,0.13815445038792873
2015-04-16,0.14438042550355046,0.13900603174707338
2015-04-17,0.13345948174443278,0.14324061465436366
2015-04-20,0.14102674624487377,0.14341758147052575
2015-04-21,0.14076878101060963,0.13391894831370665
2015-04-22,0.14472440101810968,0.13927877192761984
2015-04-23,0.14764816008855308,0.13975236310139671
2015-04-24,0.14868002102560984,0.1432628880788258
2015-04-27,0.143778484754727,0.1462695396994207
2015-04-28,0.14627225803031596,0.14756102703734542
2015-04-29,0.14214461746222562,0.14345581058713675
2015-04-30,0.1319976350125216,0.1450950674452186
2015-05-01,0.1405108157763454,0.14170991329737082
2015-05-04,0.143778484754727,0.13242185370468373
2015-05-05,0.13259957576134507,0.1386338403231685
2015-05-06,0.130019792205461,0.1422923990401298
2015-05-07,0.13354542641810674,0.13302258157148916
2015-05-08,0.14524033148663806,0.12956526927007228
2015-05-11,0.1412847114791379,0.13218861605936727
2015-05-12,0.1385329729692848,0.14272698991686283
2015-05-13,0.1390489690444343,0.1406515696014966
2015-05-14,0.14833604551105062,0.13798192452333036
2015-05-15,0.1494539823350236,0.13808389420945688
2015-05-18,0.15297961654766934,0.1461943512616739
2015-05-19,0.15254969635943605,0.1482260256846054
2015-05-20,0.15194775561061258,0.15156470987424098
2015-05-21,0.15435551860590646,0.15162497830550858
2015-05-22,0.15254969635943605,0.15110801564401288
2015-05-26,0.14266061353737514,0.15313991180796205
2015-05-27,0.15125980458149402,0.15183026225186635
2015-05-28,0.1503998985984063,0.14303754339254493
2015-05-29,0.14403644998899112,0.14938907415470715
2015-06-01,0.14635826831061105,0.14946708990726443
2015-06-02,0.1456703172814925,0.14392912648556322
2015-06-03,0.1489379862598741,0.14523174126164617
2015-06-04,0.1413707217594331,0.14480169384133512
2015-06-05,0.14059682605664048,0.147594647374518
2015-06-08,0.13483531819604877,0.14136092413752666
2015-06-09,0.13406142249325625,0.13987379078147777
2015-06-10,0.14541235204722835,0.13465667050311514
2015-06-11,0.14807808027678637,0.13330202318759143
2015-06-12,0.14188665222796149,0.14302207209526796
2015-06-15,0.137587056705902,0.14661299259240101
